row_label_raw,row_label_full,Name,Title,col_2,col_3,numeric__Title,numeric__col_2,numeric__col_3
Members of the Board of Directors,Members of the Board of Directors,Members of the Board of Directors,Members of the Board of Directors,Members of the Board of Directors,Members of the Board of Directors,,,
Mrs. Cao Thi Ngoc Dung,Mrs. Cao Thi Ngoc Dung,Mrs. Cao Thi Ngoc Dung,Chairwoman,"720,000,000","813,000,000",,,
Mr. Le Tri Thong,Mr. Le Tri Thong,Mr. Le Tri Thong,Vice Chairman,"175,000,000","190,000,000",,,
Mrs. Tran Phuong Ngoc Thao,Mrs. Tran Phuong Ngoc Thao,Mrs. Tran Phuong Ngoc Thao,Vice Chairwoman,"322,000,000","460,000,000",,,
Mrs. Dang Thi Lai,Mrs. Dang Thi Lai,Mrs. Dang Thi Lai,Member,"266,000,000","150,000,000",,,
Mr. Dang Hai Anh,Mr. Dang Hai Anh,Mr. Dang Hai Anh,Member,"125,000,000","100,000,000",,,
Mr. Dao Trung Kien,Mr. Dao Trung Kien,Mr. Dao Trung Kien,Member,"135,000,000","150,000,000",,,
Mr. Nguyen Tuan Hai,Mr. Nguyen Tuan Hai,Mr. Nguyen Tuan Hai,Independent Member,"220,000,000","240,000,000",,,
Mr. Le Quang Phuc,Mr. Le Quang Phuc,Mr. Le Quang Phuc,Independent Member,"306,000,000","330,000,000",,,
Mrs. Tieu Yen Trinh,Mrs. Tieu Yen Trinh,Mrs. Tieu Yen Trinh,Independent Member,"238,000,000","260,000,000",,,
,,,,"2,507,000,000","2,693,000,000",,,
Members of the Board of Management,Members of the Board of Management,Members of the Board of Management,Members of the Board of Management,Members of the Board of Management,Members of the Board of Management,,,
Mr. Le Tri Thong,Mr. Le Tri Thong,Mr. Le Tri Thong,Chief Executive Officer,"644,000,000","609,000,000",,,
Average of a member of Board of Management,Average of a member of Board of Management,Average of a member of Board of Management,Senior Directors,"337,000,000","295,000,000",,,
,,,,"981,000,000","904,000,000",,,
