row_label_raw,row_label_full,cung cấp dịch vụ,cung cấp dịch vụ_1,cung cấp dịch vụ_2,numeric__cung cấp dịch vụ_1,numeric__cung cấp dịch vụ_2
"Doanh thu thuần về bán vàng, bạc và đồ trang sức","Doanh thu thuần về bán vàng, bạc và đồ trang sức","Doanh thu thuần về bán vàng, bạc và đồ trang sức",34.816.141.867.244,37.682.907.517.042,34816141867244.0,37682907517042.0
Doanh thu thuần về bán phụ kiện,Doanh thu thuần về bán phụ kiện,Doanh thu thuần về bán phụ kiện,85.422.286.064,63.625.784.731,85422286064.0,63625784731.0
Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,74.478.776.084,76.303.869.612,74478776084.0,76303869612.0
,,,34.976.042.929.392,37.822.837.171.385,34976042929392.0,37822837171385.0
