row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,3.281.691.880.000,1.851.376.032.458,(3.384.090.000),1.936.397.556.918,2.740.099.284.600,9.806.180.663.976,3281691880000.0,1851376032458.0,-3384090000.0,1936397556918.0,2740099284600.0,9806180663976.0
Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đotted 1,Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đotted 1,Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đotted 1,65.599.920.000,65.531.920.000,-,-,-,131.131.840.000,65599920000.0,65531920000.0,,,,131131840000.0
Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đotted 2,Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đotted 2,Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đotted 2,33.455.960.000,33.401.960.000,-,-,-,66.857.920.000,33455960000.0,33401960000.0,,,,66857920000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,2.112.916.282.946,2.112.916.282.946,,,,,2112916282946.0,2112916282946.0
Chia cổ tức (Thuyết minh 25),Chia cổ tức (Thuyết minh 25),Chia cổ tức (Thuyết minh 25),-,-,-,-,(673.803.076.400),(673.803.076.400),,,,,-673803076400.0,-673803076400.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)",-,-,-,-,(98.555.000.000),(98.555.000.000),,,,,-98555000000.0,-98555000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,689.884.000.000,(689.884.000.000),-,,,,689884000000.0,-689884000000.0,
"Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt",-,-,-,-,(89.422.000.000),(89.422.000.000),,,,,-89422000000.0,-89422000000.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,3.380.747.760.000,1.950.309.912.458,(3.384.090.000),2.626.281.556.918,3.301.351.491.146,11.255.306.630.522,3380747760000.0,1950309912458.0,-3384090000.0,2626281556918.0,3301351491146.0,11255306630522.0
Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động (*),Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động (*),Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động (*),32.438.900.000,32.384.900.000,-,-,-,64.823.800.000,32438900000.0,32384900000.0,,,,64823800000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,2.828.497.462.890,2.828.497.462.890,,,,,2828497462890.0,2828497462890.0
Chia cổ tức (Thuyết minh 25) (**),Chia cổ tức (Thuyết minh 25) (**),Chia cổ tức (Thuyết minh 25) (**),-,-,-,-,(675.810.434.000),(675.810.434.000),,,,,-675810434000.0,-675810434000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20) (**)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20) (**)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20) (**)",-,-,-,-,(105.646.000.000),(105.646.000.000),,,,,-105646000000.0,-105646000000.0
Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),-,-,-,845.166.000.000,(845.166.000.000),-,,,,845166000000.0,-845166000000.0,
"Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt (**)","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt (**)","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt (**)",-,-,-,-,(92.258.000.000),(92.258.000.000),,,,,-92258000000.0,-92258000000.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,3.413.186.660.000,1.982.694.812.458,(3.384.090.000),3.471.447.556.918,4.410.968.520.036,13.274.913.459.412,3413186660000.0,1982694812458.0,-3384090000.0,3471447556918.0,4410968520036.0,13274913459412.0
