row_label_raw,row_label_full,Công ty,"Nơi thành lập, đăng ký hoạt động",Hoạt động chính,2025,2025_1,2024,2024_1,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Hoạt động chính,numeric__2025,numeric__2025_1,numeric__2024,numeric__2024_1
Công ty,Công ty,Công ty,"Nơi thành lập, đăng ký hoạt động",Hoạt động chính,Tỷ lệ sở hữu %,Tỷ lệ quyền biểu quyết nắm giữ %,Tỷ lệ sở hữu %,Tỷ lệ quyền biểu quyết nắm giữ %,,,,,,
Công ty TNHH MTV Thời trang CAO,Công ty > Công ty TNHH MTV Thời trang CAO,Công ty TNHH MTV Thời trang CAO,Thành phố Hồ Chí Minh,Kinh doanh trang sức,100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty TNHH MTV Giám định PNJ,Công ty > Công ty TNHH MTV Giám định PNJ,Công ty TNHH MTV Giám định PNJ,Thành phố Hồ Chí Minh,"Tư vấn và giám định váng, bạo vá đá quý",100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty TNHH MTV Chế tác và Kinh doanh Trang sức PNJ,Công ty > Công ty TNHH MTV Chế tác và Kinh doanh Trang sức PNJ,Công ty TNHH MTV Chế tác và Kinh doanh Trang sức PNJ,Thánh phố Hồ Chí Minh,Chế tác và kinh doanh trang sức,100,100,100,100,,,100.0,100.0,100.0,100.0
