row_label_raw,row_label_full,TSCD,TSCD_1,TSCD_2,TSCD_3,TSCD_4,TSCD_5,numeric__TSCD_1,numeric__TSCD_2,numeric__TSCD_3,numeric__TSCD_4,numeric__TSCD_5
,,,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tổng cộngVND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,156.727.970.129,430.993.584.388,67.558.542.370,140.991.045.233,796.271.142.120,156727970129.0,430993584388.0,67558542370.0,140991045233.0,796271142120.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,2.940.297.655,18.243.083.221,1.654.040.000,10.166.591.257,33.004.012.133,2940297655.0,18243083221.0,1654040000.0,10166591257.0,33004012133.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,25.730.833.242,-,-,25.730.833.242,,25730833242.0,,,25730833242.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(292.987.190),(5.822.081.334),-,(2.286.868.507),(8.401.937.031),-292987190.0,-5822081334.0,,-2286868507.0,-8401937031.0
Khác,Nguyên giá > Khác,Khác,-,(1.571.372.308),-,-,(1.571.372.308),,-1571372308.0,,,-1571372308.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,159.375.280.594,467.574.047.209,69.212.582.370,148.870.767.983,845.032.678.156,159375280594.0,467574047209.0,69212582370.0,148870767983.0,845032678156.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2025,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,83.399.027.979,317.876.177.390,40.737.770.511,105.827.918.310,547.840.894.190,83399027979.0,317876177390.0,40737770511.0,105827918310.0,547840894190.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.089.800.728,41.919.956.939,5.595.662.945,13.719.816.667,69.325.237.279,8089800728.0,41919956939.0,5595662945.0,13719816667.0,69325237279.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(286.356.498),(5.822.081.334),-,(2.270.176.484),(8.378.614.316),-286356498.0,-5822081334.0,,-2270176484.0,-8378614316.0
Tại ngày 31 tháng 12 năm 2025,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,91.202.472.209,353.974.052.995,46.333.433.456,117.277.558.493,608.787.517.153,91202472209.0,353974052995.0,46333433456.0,117277558493.0,608787517153.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,73.328.942.150,113.117.406.998,26.820.771.859,35.163.126.923,248.430.247.930,73328942150.0,113117406998.0,26820771859.0,35163126923.0,248430247930.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,68.172.808.385,113.599.994.214,22.879.148.914,31.593.209.490,236.245.161.003,68172808385.0,113599994214.0,22879148914.0,31593209490.0,236245161003.0
