row_label_raw,row_label_full,Công ty TNHH Sản xuất Thương mại,Công ty TNHH Sản xuất Thương mại_1,Công ty TNHH Sản xuất Thương mại_2,numeric__Công ty TNHH Sản xuất Thương mại_1,numeric__Công ty TNHH Sản xuất Thương mại_2
Không gian Vàng,Không gian Vàng,Không gian Vàng,-,272.827.440,,272827440.0
Công ty Cổ phần Nội thất Không Gian Vàng,Công ty Cổ phần Nội thất Không Gian Vàng,Công ty Cổ phần Nội thất Không Gian Vàng,-,37.418.553,,37418553.0
,,,-,310.245.993,,310245993.0
