row_label_raw,row_label_full,Borrowings from banks (*)
Joint Stock Commercial Bank for Foreign Trade of Vietnam,Joint Stock Commercial Bank for Foreign Trade of Vietnam,Joint Stock Commercial Bank for Foreign Trade of Vietnam
Joint Stock Commercial Bank for Investment and Development of Vietnam - Hoc Mon Branch,Joint Stock Commercial Bank for Investment and Development of Vietnam - Hoc Mon Branch,Joint Stock Commercial Bank for Investment and Development of Vietnam - Hoc Mon Branch
Vietnam Joint Stock Commercial Bank for Industry and Trade,Vietnam Joint Stock Commercial Bank for Industry and Trade,Vietnam Joint Stock Commercial Bank for Industry and Trade
Asia Commercial Joint Stock Bank - Ho Chi Minh City Branch,Asia Commercial Joint Stock Bank - Ho Chi Minh City Branch,Asia Commercial Joint Stock Bank - Ho Chi Minh City Branch
KEB Hana Bank - Ho Chi Minh City Branch,KEB Hana Bank - Ho Chi Minh City Branch,KEB Hana Bank - Ho Chi Minh City Branch
Woori Bank Vietnam Limited,Woori Bank Vietnam Limited,Woori Bank Vietnam Limited
HSBC Bank (Viet Nam) Ltd.,HSBC Bank (Viet Nam) Ltd.,HSBC Bank (Viet Nam) Ltd.
Vietnam International Commercial Joint Stock Bank - Sai Gon Branch,Vietnam International Commercial Joint Stock Bank - Sai Gon Branch,Vietnam International Commercial Joint Stock Bank - Sai Gon Branch
Shinhan Bank Vietnam Limited,Shinhan Bank Vietnam Limited,Shinhan Bank Vietnam Limited
Siam Commercial Bank - Ho Chi Minh City Branch,Siam Commercial Bank - Ho Chi Minh City Branch,Siam Commercial Bank - Ho Chi Minh City Branch
Borrowings from individuals,Borrowings from individuals,Borrowings from individuals
