row_label_raw,row_label_full,Name,Relationship,numeric__Relationship
Members of the Board of Directors and the Board of Management,Members of the Board of Directors and the Board of Management,Members of the Board of Directors and the Board of Management,Key management,
Vietnam Association For Women Entrepreneurs,Vietnam Association For Women Entrepreneurs,Vietnam Association For Women Entrepreneurs,(i),
Ho Chi Minh City Association for Women Executives & Entrepreneurs,Ho Chi Minh City Association for Women Executives & Entrepreneurs,Ho Chi Minh City Association for Women Executives & Entrepreneurs,(i),
Vietnam Institute of Directors Social Enterprise Joint Stock Company,Vietnam Institute of Directors Social Enterprise Joint Stock Company,Vietnam Institute of Directors Social Enterprise Joint Stock Company,(i),
Golden Trust Fund,Golden Trust Fund,Golden Trust Fund,(i),
Talent Net Corporation,Talent Net Corporation,Talent Net Corporation,(ii),
Saigon House Production Trading Service Joint Stock Company,Saigon House Production Trading Service Joint Stock Company,Saigon House Production Trading Service Joint Stock Company,(ii),
Vietnam Dairy Products Joint Stock Company,Vietnam Dairy Products Joint Stock Company,Vietnam Dairy Products Joint Stock Company,(ii),
Vietnam Youth Federation Ho Chi Minh City,Vietnam Youth Federation Ho Chi Minh City,Vietnam Youth Federation Ho Chi Minh City,(ii),
National Data Association,National Data Association,National Data Association,(ii),
Young Businesspeople Association of Ho Chi Minh City,Young Businesspeople Association of Ho Chi Minh City,Young Businesspeople Association of Ho Chi Minh City,(iii),
Young Vietnamese Entrepreneurs,Young Vietnamese Entrepreneurs,Young Vietnamese Entrepreneurs,(iii),
Business Association of High Quality Vietnamese Products Ho Chi Minh City,Business Association of High Quality Vietnamese Products Ho Chi Minh City,Business Association of High Quality Vietnamese Products Ho Chi Minh City,(iii),
Vietnam Gold Trader Association,Vietnam Gold Trader Association,Vietnam Gold Trader Association,(iii),
An Phu International Healthcare Company Limited,An Phu International Healthcare Company Limited,An Phu International Healthcare Company Limited,(iv),
Golden Space Furniture Joint Stock Company,Golden Space Furniture Joint Stock Company,Golden Space Furniture Joint Stock Company,(iv),
Golden Space Production Trade Company Limited,Golden Space Production Trade Company Limited,Golden Space Production Trade Company Limited,(iv),
