row_label_raw,row_label_full,col_0,2025VND,2024VND,numeric__2025VND,numeric__2024VND
Beginning of year,Beginning of year,Beginning of year,"197,207,058,618","119,826,334,344",,
Consolidated income statement credit(Note 34),Consolidated income statement credit(Note 34),Consolidated income statement credit(Note 34),"130,314,948,007","77,380,724,274",,
End of year,End of year,End of year,"327,522,006,625","197,207,058,618",,
Details of deferred tax assets:,Details of deferred tax assets:,Details of deferred tax assets:,Details of deferred tax assets:,Details of deferred tax assets:,,
,,,2025VND,2024VND,,
Provision for long-term investments,Provision for long-term investments,Provision for long-term investments,"79,054,322,682","79,054,322,681",,
Provision for decline in value of inventories,Provision for decline in value of inventories,Provision for decline in value of inventories,"196,016,834,308","84,122,304,025",,
Others,Others,Others,"52,450,849,635","34,030,431,912",,
,,,"327,522,006,625","197,207,058,618",,
