row_label_raw,row_label_full,Code,ASSETS (continued),Note,As at 31 December,As at 31 December_1,numeric__ASSETS (continued),numeric__Note,numeric__As at 31 December,numeric__As at 31 December_1
Code,Code,Code,ASSETS (continued),Note,2025VND,2024VND,,,,
200,200,200,NON-CURRENT ASSETS,,"1,549,599,053,151","1,515,133,510,053",,,,
210,210,210,Long-term receivable,,"121,168,536,356","115,599,492,454",,,,
216,216,216,Other long-term receivables,6(b),"121,168,536,356","115,599,492,454",,,,
220,220,220,Fixed assets,,"855,770,473,476","857,118,818,527",,,,
221,221,221,Tangible fixed assets,10(a),"236,245,161,003","248,430,247,930",,,,
222,222,222,Historical cost,,"845,032,678,156","796,271,142,120",,,,
223,223,223,Accumulated depreciation,,"(608,787,517,153)","(547,840,894,190)",,,,
227,227,227,Intangible fixed assets,10(b),"619,525,312,473","608,688,570,597",,,,
228,228,228,Historical cost,,"734,945,157,553","708,142,194,553",,,,
229,229,229,Accumulated amortisation,,"(115,419,845,080)","(99,453,623,956)",,,,
240,240,240,Long-term asset in progress,,"94,707,660,034","64,702,641,159",,,,
242,240 > 242,242,Construction in progress,11,"94,707,660,034","64,702,641,159",,11.0,,
250,250,250,Long-term investments,12(c),"5,930,000,000","3,980,000,000",,,,
253,253,253,Investments in other entities,,"401,201,613,400","399,251,613,400",,,,
254,254,254,Provision for long-term investments,,"(395,271,613,400)","(395,271,613,400)",,,,
260,260,260,Other long-term assets,,"472,022,383,285","473,732,557,913",,,,
261,261,261,Long-term prepaid expenses,9(b),"144,500,376,660","276,525,499,295",,,,
262,261 > 262,262,Deferred income tax assets,22,"327,522,006,625","197,207,058,618",,22.0,,
270,270,270,TOTAL ASSETS,,"20,163,630,247,041","17,207,730,777,685",,,,
