row_label_raw,row_label_full,Qũy Niểm tin Vàng,2.900.000.000,-,numeric__2.900.000.000,numeric__-
Hội Doanh nhân Trẻ Thành phố Hồ Chí Minh,Hội Doanh nhân Trẻ Thành phố Hồ Chí Minh,Hội Doanh nhân Trẻ Thành phố Hồ Chí Minh,1.383.000.000,1.868.360.000,1383000000.0,1868360000.0
Hiệp hội Dữ liệu Quốc gia,Hiệp hội Dữ liệu Quốc gia,Hiệp hội Dữ liệu Quốc gia,1.007.000.000,-,1007000000.0,
Công ty Cổ phần Kết nối Nhân tái,Công ty Cổ phần Kết nối Nhân tái,Công ty Cổ phần Kết nối Nhân tái,839.096.700,1.050.735.040,839096700.0,1050735040.0
Công ty Cổ phần Doanh nghiệp Xã hội,Công ty Cổ phần Doanh nghiệp Xã hội,Công ty Cổ phần Doanh nghiệp Xã hội,,,,
Viên thành viên Hội đồng Quản trị Việt Nam,Công ty Cổ phần Doanh nghiệp Xã hội > Viên thành viên Hội đồng Quản trị Việt Nam,Viên thành viên Hội đồng Quản trị Việt Nam,645.730.272,247.293.000,645730272.0,247293000.0
Hội Doanh Nhân Trẻ Việt Nam,Công ty Cổ phần Doanh nghiệp Xã hội > Hội Doanh Nhân Trẻ Việt Nam,Hội Doanh Nhân Trẻ Việt Nam,420.000.000,592.800.000,420000000.0,592800000.0
Hội Nữ Doanh nhân Thành phố Hồ Chí Minh,Công ty Cổ phần Doanh nghiệp Xã hội > Hội Nữ Doanh nhân Thành phố Hồ Chí Minh,Hội Nữ Doanh nhân Thành phố Hồ Chí Minh,420.000.000,167.000.000,420000000.0,167000000.0
Hội Doanh nghiệp Hàng Việt Nam,Hội Doanh nghiệp Hàng Việt Nam,Hội Doanh nghiệp Hàng Việt Nam,,,,
chất lượng cao Thành phố Hồ Chí Minh,Hội Doanh nghiệp Hàng Việt Nam > chất lượng cao Thành phố Hồ Chí Minh,chất lượng cao Thành phố Hồ Chí Minh,129.600.000,143.200.000,129600000.0,143200000.0
Hiệp Hội Kinh Doanh Vàng Việt Nam,Hội Doanh nghiệp Hàng Việt Nam > Hiệp Hội Kinh Doanh Vàng Việt Nam,Hiệp Hội Kinh Doanh Vàng Việt Nam,80.000.000,50.000.000,80000000.0,50000000.0
Hội Liên hiệp Thanh niên Việt Nam,Hội Liên hiệp Thanh niên Việt Nam,Hội Liên hiệp Thanh niên Việt Nam,,,,
Thành phố Hồ Chí Minh,Hội Liên hiệp Thanh niên Việt Nam > Thành phố Hồ Chí Minh,Thành phố Hồ Chí Minh,80.000.000,-,80000000.0,
Công ty TNHH Phòng khám Đa khoa,Công ty TNHH Phòng khám Đa khoa,Công ty TNHH Phòng khám Đa khoa,,,,
Quốc tế An Phú,Công ty TNHH Phòng khám Đa khoa > Quốc tế An Phú,Quốc tế An Phú,-,3.020.443.750,,3020443750.0
Hiệp hội Nữ doanh nhân Việt Nam,Công ty TNHH Phòng khám Đa khoa > Hiệp hội Nữ doanh nhân Việt Nam,Hiệp hội Nữ doanh nhân Việt Nam,-,42.406.000,,42406000.0
,,,7.904.426.972,7.182.237.790,7904426972.0,7182237790.0
