row_label_raw,row_label_full,col_0,For the year ended,For the year ended_1,numeric__For the year ended,numeric__For the year ended_1
,,,31.12.2025VND,31.12.2024VND,,
Net profit attributable to shareholders (VND),Net profit attributable to shareholders (VND),Net profit attributable to shareholders (VND),"2,828,497,462,890","2,112,916,282,946",,
"Less amount allocated to bonus andwelfare fund, the Board of Directors'operating fund and reward fund for theBoard of Directors, Key Leaders (VND) (*)","Less amount allocated to bonus andwelfare fund, the Board of Directors'operating fund and reward fund for theBoard of Directors, Key Leaders (VND) (*)","Less amount allocated to bonus andwelfare fund, the Board of Directors'operating fund and reward fund for theBoard of Directors, Key Leaders (VND) (*)","(236,681,000,000)","(197,904,000,000)",,
,,,"2,591,816,462,890","1,915,012,282,946",,
Weighted average number of ordinaryshares in issue (shares),Weighted average number of ordinaryshares in issue (shares),Weighted average number of ordinaryshares in issue (shares),"338,713,968","335,193,634",,
Basic earnings per share (VND),Weighted average number of ordinaryshares in issue (shares) > Basic earnings per share (VND),Basic earnings per share (VND),"7,652","5,713",7.652,5.713
