row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Nàm tài chính kết thúcngày 31 tháng 12 năm,Nàm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Nàm tài chính kết thúcngày 31 tháng 12 năm,numeric__Nàm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2025VND,2024VND,,,,
01,Mãsố > 01,01,Doanh thu bàn hàng và cung cấp dịch vụ,,35.410.589.612.616,38.232.401.184.050,,,35410589612616.0,38232401184050.0
02,Mãsố > 02,02,Khoản giảm trừ doanh thu,,434.546.683.224,409.564.012.665,,,434546683224.0,409564012665.0
10,Mãsố > 10,10,Doanh thu thuần về bán hàng vàcung cấp dịch vụ (10 = 01 - 02),28,34.976.042.929.392,37.822.837.171.385,,28.0,34976042929392.0,37822837171385.0
11,Mãsố > 11,11,Giả vốn hàng bán và dịch vụ cung cấp,29,27.292.194.621.378,31.149.334.531.193,,29.0,27292194621378.0,31149334531193.0
20,Mãsố > 20,20,Lợi nhuận gộp về bán hàng và cung cấpdịch vụ (20 = 10 - 11),,7.683.848.308.014,6.673.502.640.192,,,7683848308014.0,6673502640192.0
21,Mãsố > 21,21,Doanh thu hoạt động tài chính,30,136.303.226.388,75.567.438.524,,30.0,136303226388.0,75567438524.0
22,Mãsố > 22,22,Chi phí tài chính,31,153.168.770.819,93.616.780.951,,31.0,153168770819.0,93616780951.0
23,Mãsố > 23,23,- Trong đó: Chi phí lãi vay,,119.082.599.327,46.775.305.829,,,119082599327.0,46775305829.0
25,Mãsố > 25,25,Chi phí bán hàng,32,3.322.701.974.507,3.207.574.691.174,,32.0,3322701974507.0,3207574691174.0
26,Mãsố > 26,26,Chi phí quản lý doanh nghiệp,33,824.395.851.865,795.749.355.922,,33.0,824395851865.0,795749355922.0
30,Mãsố > 30,30,Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 - 25 - 26),,3.519.884.937.211,2.652.129.250.669,,,3519884937211.0,2652129250669.0
31,Mãsố > 31,31,Thu nhập khác,,41.188.910.080,10.013.781.125,,,41188910080.0,10013781125.0
32,Mãsố > 32,32,Chi phí khác,,13.234.356.500,11.130.582.486,,,13234356500.0,11130582486.0
40,Mãsố > 40,40,Lợi nhuận/(lỗ) khác (40 = 31 - 32),,27.954.553.580,(1.116.801.361),,,27954553580.0,-1116801361.0
50,Mãsố > 50,50,Tổng iợi nhuận kế toàn trước thuế(50 = 30 + 40),,3.547.839.490.791,2.651.012.449.308,,,3547839490791.0,2651012449308.0
51,Mãsố > 51,51,"Chi phí thuế thu nhập doanh nghiệp(""TNDN"") hiện hành",34,849.656.975.908,615.476.890.636,,34.0,849656975908.0,615476890636.0
52,Mãsố > 52,52,Thu nhập thuế TNDN hoãn lại,34,(130.314.948.007),(77.380.724.274),,34.0,-130314948007.0,-77380724274.0
60,Mãsố > 60,60,Lợi nhuận sau thuế TNDN(60 = 50 - 51 - 52),,2.828.497.462.890,2.112.916.282.946,,,2828497462890.0,2112916282946.0
61,Mãsố > 61,61,Phân bổ cho:Lợi nhuận sau thuế của cổ đôngcông ty mẹ,,2.828.497.462.890,2.112.916.282.946,,,2828497462890.0,2112916282946.0
70,Mãsố > 70,70,Lãi cơ bản trên cổ phiếu,26(a),,5.713,,,,5713.0
71,Mãsố > 71,71,Lãi suy giảm trên cổ phiếu,26(b),,5.713,,,,5713.0
