row_label_raw,row_label_full,Đơn vị bảo lãnh/tư vấn phát hành,Số cuối năm (VND),Số đầu năm (VND),numeric__Số cuối năm (VND),numeric__Số đầu năm (VND)
Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),1.150.000.000.000,1.150.000.000.000,1150000000000.0,1150000000000.0
Công ty Cổ phần Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,800.000.000.000,1.800.000.000.000,800000000000.0,1800000000000.0
Công ty TNHH Chứng khoán Shinhan Việt Nam,Công ty TNHH Chứng khoán Shinhan Việt Nam,Công ty TNHH Chứng khoán Shinhan Việt Nam,700.000.000.000,700.000.000.000,700000000000.0,700000000000.0
Công ty Cổ phần chứng khoán SSI,Công ty Cổ phần chứng khoán SSI,Công ty Cổ phần chứng khoán SSI,179.100.000.000,400.000.000.000,179100000000.0,400000000000.0
Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,-,500.000.000.000,,500000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(31.129.158.702),(24.663.559.964),-31129158702.0,-24663559964.0
Tổng cộng,Tổng cộng,Tổng cộng,2.797.970.841.298,4.525.336.440.036,2797970841298.0,4525336440036.0
Trong đó:,Trong đó:,Trong đó:,,,,
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,1.076.625.185.011,299.906.250.000,1076625185011.0,299906250000.0
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,1.721.345.656.287,4.225.430.190.036,1721345656287.0,4225430190036.0
