row_label_raw,row_label_full,Ngân hàng,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch I,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch I,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch I,360.063.889.302,453.440.885.664,360063889302.0,453440885664.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch I - Vay thấu chi theo hạn mức,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch I - Vay thấu chi theo hạn mức,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch I - Vay thấu chi theo hạn mức,151.749.829.873,-,151749829873.0,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Nội,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Nội,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Nội,16.573.618.246,448.122.863.149,16573618246.0,448122863149.0
Ngân hàng TMCP Kỹ Thương Việt Nam,Ngân hàng TMCP Kỹ Thương Việt Nam,Ngân hàng TMCP Kỹ Thương Việt Nam,-,108.880.000.000,,108880000000.0
Ngân hàng TMCP Quản đội - CN Hoàn Kiểm,Ngân hàng TMCP Quản đội - CN Hoàn Kiểm,Ngân hàng TMCP Quản đội - CN Hoàn Kiểm,-,82.872.057.560,,82872057560.0
Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),5.350.313.939,61.466.892.917,5350313939.0,61466892917.0
,,,533.737.651.360,1.154.782.699.290,533737651360.0,1154782699290.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Ngân hàng,Ngân hàng,Ngân hàng,Số cuối năm,Số đầu năm,,
,,,VND,VND,,
Ngân hàng TNHH MTV Woori Việt Nam - Chi nhánh Bắc Ninh,Ngân hàng > Ngân hàng TNHH MTV Woori Việt Nam - Chi nhánh Bắc Ninh,Ngân hàng TNHH MTV Woori Việt Nam - Chi nhánh Bắc Ninh,200.000.000.000,200.000.000.000,200000000000.0,200000000000.0
,,,200.000.000.000,200.000.000.000,200000000000.0,200000000000.0
