row_label_raw,row_label_full,col_0,Số năm,numeric__Số năm
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",50,50.0
Máy móc thiết bị và các tài sản khác,Máy móc thiết bị và các tài sản khác,Máy móc thiết bị và các tài sản khác,5 - 15,
