row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,88.772.622.377,29.479.474.318,2.296.720.000,6.933.482.862,127.482.299.557,88772622377.0,29479474318.0,2296720000.0,6933482862.0,127482299557.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,1.525.734.545,209.209.272,1.734.943.817,,,1525734545.0,209209272.0,1734943817.0
Phân loại lại từ bất động sản đầu tư,NGUYÊN GIÁ > Phân loại lại từ bất động sản đầu tư,Phân loại lại từ bất động sản đầu tư,4.649.949.748,498.628.705,-,2.162.231.547,7.310.810.000,4649949748.0,498628705.0,,2162231547.0,7310810000.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(23.434.600.386),-,-,(38.445.455),(23.473.045.841),-23434600386.0,,,-38445455.0,-23473045841.0
Hủy (i),NGUYÊN GIÁ > Hủy (i),Hủy (i),(27.075.909.045),-,-,-,(27.075.909.045),-27075909045.0,,,,-27075909045.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,42.912.062.694,29.978.103.023,3.822.454.545,9.266.478.226,85.979.098.488,42912062694.0,29978103023.0,3822454545.0,9266478226.0,85979098488.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,50.613.780.852,26.017.436.581,1.658.742.228,5.009.757.088,83.299.716.749,50613780852.0,26017436581.0,1658742228.0,5009757088.0,83299716749.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.293.199.654,450.455.712,456.954.321,497.619.235,2.698.228.922,1293199654.0,450455712.0,456954321.0,497619235.0,2698228922.0
Phân loại lại từ bất động sản đầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại từ bất động sản đầu tư,Phân loại lại từ bất động sản đầu tư,712.388.032,278.361.214,-,1.454.223.118,2.444.972.364,712388032.0,278361214.0,,1454223118.0,2444972364.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(14.464.039.506),-,-,(35.241.674),(14.499.281.180),-14464039506.0,,,-35241674.0,-14499281180.0
Hủy (i),GIÁ TRỊ HAO MÒN LỦY KẾ > Hủy (i),Hủy (i),(27.075.909.045),-,-,-,(27.075.909.045),-27075909045.0,,,,-27075909045.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,11.079.419.987,26.746.253.507,2.115.696.549,6.926.357.767,46.867.727.810,11079419987.0,26746253507.0,2115696549.0,6926357767.0,46867727810.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,38.158.841.525,3.462.037.737,637.977.772,1.923.725.774,44.182.582.808,38158841525.0,3462037737.0,637977772.0,1923725774.0,44182582808.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,31.832.642.707,3.231.849.516,1.706.757.996,2.340.120.459,39.111.370.678,31832642707.0,3231849516.0,1706757996.0,2340120459.0,39111370678.0
