row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VND Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > VND Giá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,9.253.837.076.877,-,,8.533.837.076.877,-,,9253837076877.0,,,8533837076877.0,,
Công ty Cổ phần Hạ tầng GELEX (i),Công ty Cổ phần Hạ tầng GELEX (i),Công ty Cổ phần Hạ tầng GELEX (i),6.850.316.883.509,-,(i),6.130.316.883.509,-,(i),6850316883509.0,,,6130316883509.0,,
Công ty Cổ phần Điện lực GELEX (ii),Công ty Cổ phần Điện lực GELEX (ii),Công ty Cổ phần Điện lực GELEX (ii),2.403.520.193.368,-,7.439.863.600.000,2.403.520.193.368,-,(i),2403520193368.0,,7439863600000.0,2403520193368.0,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,-,-,-,51.858.695.455,-,114.870.740.000,,,,51858695455.0,,114870740000.0
Công ty Cổ phần Đầu tư KCN Dầu khí Long Sơn (iii),Công ty Cổ phần Đầu tư KCN Dầu khí Long Sơn (iii),Công ty Cổ phần Đầu tư KCN Dầu khí Long Sơn (iii),-,-,-,51.858.695.455,-,114.870.740.000,,,,51858695455.0,,114870740000.0
,,,9.253.837.076.877,-,,8.585.695.772.332,-,,9253837076877.0,,,8585695772332.0,,
