row_label_raw,row_label_full,Thuế giá trị gia tăng,Số phải thu đầu nămVND > -,Số phải nộp đầu nămVND > -,Số phải nộp trong nămVND > 217.362.755.208,Số đã thực nộp trong nămVND > 217.603.365.951,Số phải thu cuối nămVND > 240.610.743,Số phải nộp cuối nămVND > -,numeric__Số phải thu đầu nămVND > -,numeric__Số phải nộp đầu nămVND > -,numeric__Số phải nộp trong nămVND > 217.362.755.208,numeric__Số đã thực nộp trong nămVND > 217.603.365.951,numeric__Số phải thu cuối nămVND > 240.610.743,numeric__Số phải nộp cuối nămVND > -
"Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",-,-,2.710.627.650,2.710.627.650,-,-,,,2710627650.0,2710627650.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.000.000.000,-,7.365.517.897,2.397.017.746,-,3.968.500.151,1000000000.0,,7365517897.0,2397017746.0,,3968500151.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,354.467.250,22.190.794.344,22.177.071.946,-,368.189.648,,354467250.0,22190794344.0,22177071946.0,,368189648.0
"Thuế nhà đất, tiên thuê đất","Thuế nhà đất, tiên thuê đất","Thuế nhà đất, tiên thuê đất",1.597.308.320,-,64.234.169.075,56.198.330.333,-,6.438.530.422,1597308320.0,,64234169075.0,56198330333.0,,6438530422.0
Các loại thuế khác và các khoản phải nộp khác,Các loại thuế khác và các khoản phải nộp khác,Các loại thuế khác và các khoản phải nộp khác,-,-,7.075.072.526,5.288.668.329,-,1.786.404.197,,,7075072526.0,5288668329.0,,1786404197.0
,,,2.597.308.320,354.467.250,320.938.936.700,306.375.081.955,240.610.743,12.561.624.418,2597308320.0,354467250.0,320938936700.0,306375081955.0,240610743.0,12561624418.0
