row_label_raw,row_label_full,Ngân hàng,31/12/2017,01/01/2017,numeric__31/12/2017,numeric__01/01/2017
Ngân hàng Xăng Dầu Petrolimex,Ngân hàng Xăng Dầu Petrolimex,Ngân hàng Xăng Dầu Petrolimex,58.000.000.000,-,58000000000.0,
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh KCN Hải Dương,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh KCN Hải Dương,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh KCN Hải Dương,50.000.000.000,-,50000000000.0,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hải Dương,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hải Dương,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hải Dương,101.796.052.195,52.250.969.175,101796052195.0,52250969175.0
Ngân hàng TMCP Đầu tư và phát triển Việt Nam - Chi nhánh SGD 1,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - Chi nhánh SGD 1,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - Chi nhánh SGD 1,50.000.000.000,-,50000000000.0,
Ngân hàng TMCP ngoại thương Việt Nam - Chi nhánh Hải Dương,Ngân hàng TMCP ngoại thương Việt Nam - Chi nhánh Hải Dương,Ngân hàng TMCP ngoại thương Việt Nam - Chi nhánh Hải Dương,-,20.000.000.000,,20000000000.0
Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Hải Dương,Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Hải Dương,Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Hải Dương,-,58.246.500.000,,58246500000.0
Ngân hàng TNHH MTV Hong Leong Việt Nam - Chi nhánh Hà Nội,Ngân hàng TNHH MTV Hong Leong Việt Nam - Chi nhánh Hà Nội,Ngân hàng TNHH MTV Hong Leong Việt Nam - Chi nhánh Hà Nội,5.000.000.000,-,5000000000.0,
Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,-,21.529.767.222,,21529767222.0
Ngân hàng Việt Nam Thịnh Vượng - Chi nhánh Đống Đa,Ngân hàng Việt Nam Thịnh Vượng - Chi nhánh Đống Đa,Ngân hàng Việt Nam Thịnh Vượng - Chi nhánh Đống Đa,10.000.000.000,-,10000000000.0,
Ngân hàng TMCP Kỹ Thương Việt Nam - Chi nhánh Hải Dương,Ngân hàng TMCP Kỹ Thương Việt Nam - Chi nhánh Hải Dương,Ngân hàng TMCP Kỹ Thương Việt Nam - Chi nhánh Hải Dương,20.000.000.000,-,20000000000.0,
Cộng,Cộng,Cộng,294.796.052.195,152.027.236.397,294796052195.0,152027236397.0
