row_label_raw,row_label_full,5.7. Hàng tồn kho,31/12/2017,31/12/2017_1,01/01/2017,01/01/2017_1,numeric__31/12/2017,numeric__31/12/2017_1,numeric__01/01/2017,numeric__01/01/2017_1
5.7. Hàng tồn kho,5.7. Hàng tồn kho,5.7. Hàng tồn kho,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Hàng mua đang đi đường,5.7. Hàng tồn kho > Hàng mua đang đi đường,Hàng mua đang đi đường,9.915.036.980,-,26.925.196.561,-,9915036980.0,,26925196561.0,
"Nguyên liệu, vật liệu","5.7. Hàng tồn kho > Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",296.407.270.975,-,299.399.413.447,-,296407270975.0,,299399413447.0,
"Công cụ, dụng cụ","5.7. Hàng tồn kho > Công cụ, dụng cụ","Công cụ, dụng cụ",15.154.158.019,-,11.393.154.789,-,15154158019.0,,11393154789.0,
"Chi phí sản xuất, kinh doanh dở dang","5.7. Hàng tồn kho > Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang",15.174.471.739,-,16.064.918.516,-,15174471739.0,,16064918516.0,
Thành phẩm,5.7. Hàng tồn kho > Thành phẩm,Thành phẩm,73.572.472.239,-,63.580.462.516,-,73572472239.0,,63580462516.0,
Cộng,5.7. Hàng tồn kho > Cộng,Cộng,410.223.409.952,-,417.363.145.829,-,410223409952.0,,417363145829.0,
5.8. Thuế và các khoản phải nộp Nhà nước,5.8. Thuế và các khoản phải nộp Nhà nước,5.8. Thuế và các khoản phải nộp Nhà nước,31/12/2017 VND,Số phải nộp trong năm VND,Số đã thực nộp/bù trừ trong năm VND,01/01/2017 VND,,,,
Thuế giá trị gia tăng,5.8. Thuế và các khoản phải nộp Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,-,867.648,867.648,,,867648.0,867648.0
Thuế xuất nhập khẩu,5.8. Thuế và các khoản phải nộp Nhà nước > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,2.987.347.218,2.987.347.218,-,,2987347218.0,2987347218.0,
Thuế thu nhập doanh nghiệp,5.8. Thuế và các khoản phải nộp Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.861.583.442,48.882.016.623,45.446.243.496,6.425.810.315,9861583442.0,48882016623.0,45446243496.0,6425810315.0
Thuế thu nhập cá nhân,5.8. Thuế và các khoản phải nộp Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,547.810,3.552.716.433,3.599.020.123,46.851.500,547810.0,3552716433.0,3599020123.0,46851500.0
Các loại thuế khác,5.8. Thuế và các khoản phải nộp Nhà nước > Các loại thuế khác,Các loại thuế khác,-,1.930.317.943,1.930.317.943,-,,1930317943.0,1930317943.0,
Cộng,5.8. Thuế và các khoản phải nộp Nhà nước > Cộng,Cộng,9.862.131.252,57.352.398.217,53.963.796.428,6.473.529.463,9862131252.0,57352398217.0,53963796428.0,6473529463.0
