row_label_raw,row_label_full,col_0,Số năm,numeric__Số năm
Quyền sử dụng đất nhà đào tạo,Quyền sử dụng đất nhà đào tạo,Quyền sử dụng đất nhà đào tạo,20,20.0
Quyền sử dụng đất Nhà máy 1,Quyền sử dụng đất Nhà máy 1,Quyền sử dụng đất Nhà máy 1,45,45.0
Quyền sử dụng đất Nhà máy 2 và Nhà máy 3,Quyền sử dụng đất Nhà máy 2 và Nhà máy 3,Quyền sử dụng đất Nhà máy 2 và Nhà máy 3,21,21.0
Quyền sử dụng đất Nhà máy 5,Quyền sử dụng đất Nhà máy 5,Quyền sử dụng đất Nhà máy 5,"37,5",37.5
Quyền sử dụng đất Nhà máy 6,Quyền sử dụng đất Nhà máy 6,Quyền sử dụng đất Nhà máy 6,47,47.0
Quyền sử dụng đất nhà máy 7,Quyền sử dụng đất nhà máy 7,Quyền sử dụng đất nhà máy 7,18,18.0
Phần mềm máy vi tính,Phần mềm máy vi tính,Phần mềm máy vi tính,03,3.0
