row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm 2017VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm 2016VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm 2017VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm 2016VND > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",15.898.223.790,9.631.553.450,15898223790.0,9631553450.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,17.091.708.954,16.558.679.528,17091708954.0,16558679528.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,11.291.022.634,6.815.858.168,11291022634.0,6815858168.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,9.166.629.623,12.561.847.739,9166629623.0,12561847739.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,10.430.974.029,9.791.979.131,10430974029.0,9791979131.0
Cộng,Cộng,Cộng,63.878.559.030,55.359.918.016,63878559030.0,55359918016.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
"Chi phí nguyên liệu, vật liệu","Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",665.180.028,802.588.683,665180028.0,802588683.0
Chi phí nhân công,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nhân công,Chi phí nhân công,4.059.640.042,2.675.036.151,4059640042.0,2675036151.0
Chi phí khấu hao tài sản cố định,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,8.120.963.559,4.652.310.545,8120963559.0,4652310545.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,50.644.409.116,30.274.054.041,50644409116.0,30274054041.0
Chi phí khác bằng tiền,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí khác bằng tiền,Chi phí khác bằng tiền,9.708.133.796,3.771.013.131,9708133796.0,3771013131.0
Cộng,Các khoản chi phí bán hàng phát sinh trong năm > Cộng,Cộng,73.198.326.541,42.175.002.551,73198326541.0,42175002551.0
