row_label_raw,row_label_full,col_0,Vốn đầu tưchủ sở hữuVND,Thặng dưvốn cổ phầnVND,Quỹ đầu tưphát triểnVND,Quỹ khác thuộcvốn chủ sở hữuVND,Lợi nhuậnchưa phân phốiVND,Tổng cộngVND,numeric__Vốn đầu tưchủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Quỹ khác thuộcvốn chủ sở hữuVND,numeric__Lợi nhuậnchưa phân phốiVND,numeric__Tổng cộngVND
Số dư tại ngày 01/01/2016,Số dư tại ngày 01/01/2016,Số dư tại ngày 01/01/2016,494.999.880.000,147.408.567.329,31.886.168.760,11.612.477.781,95.296.745.891,781.203.839.761,494999880000.0,147408567329.0,31886168760.0,11612477781.0,95296745891.0,781203839761.0
Vốn góp tăng trong năm,Vốn góp tăng trong năm,Vốn góp tăng trong năm,74.650.000.000,13.312.700.000,-,-,(4.000.000.000),83.962.700.000,74650000000.0,13312700000.0,,,-4000000000.0,83962700000.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,130.649.389.312,130.649.389.312,,,,,130649389312.0,130649389312.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,2.000.793.550,-,(5.365.879.385),(3.365.085.835),,,2000793550.0,,-5365879385.0,-3365085835.0
Trả cổ tức 2015,Trả cổ tức 2015,Trả cổ tức 2015,-,-,-,-,(34.649.991.600),(34.649.991.600),,,,,-34649991600.0,-34649991600.0
Tạm ứng cổ tức năm 2016,Tạm ứng cổ tức năm 2016,Tạm ứng cổ tức năm 2016,-,-,-,-,(51.899.988.000),(51.899.988.000),,,,,-51899988000.0,-51899988000.0
Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,569.649.880.000,160.721.267.329,33.886.962.310,11.612.477.781,130.030.276.218,905.900.863.638,569649880000.0,160721267329.0,33886962310.0,11612477781.0,130030276218.0,905900863638.0
Vốn góp tăng trong năm (i),Vốn góp tăng trong năm (i),Vốn góp tăng trong năm (i),266.350.000.000,37.402.500.000,-,-,-,303.752.500.000,266350000000.0,37402500000.0,,,,303752500000.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,251.314.327.424,251.314.327.424,,,,,251314327424.0,251314327424.0
Phân phối lợi nhuận (ii),Phân phối lợi nhuận (ii),Phân phối lợi nhuận (ii),-,-,7.099.273.798,-,(18.458.111.875),(11.358.838.077),,,7099273798.0,,-18458111875.0,-11358838077.0
Trả cổ tức năm 2016 (ii),Trả cổ tức năm 2016 (ii),Trả cổ tức năm 2016 (ii),-,-,-,-,(56.964.988.000),(56.964.988.000),,,,,-56964988000.0,-56964988000.0
Tạm ứng cổ tức đợt 1 năm 2017 (iv),Tạm ứng cổ tức đợt 1 năm 2017 (iv),Tạm ứng cổ tức đợt 1 năm 2017 (iv),-,-,-,-,(29.624.994.000),(29.624.994.000),,,,,-29624994000.0,-29624994000.0
Giảm khác (iii),Giảm khác (iii),Giảm khác (iii),-,(45.000.000),-,-,-,(45.000.000),,-45000000.0,,,,-45000000.0
Trả tiền cổ tức năm 2009-2011 choBùi Văn Long,Trả tiền cổ tức năm 2009-2011 choBùi Văn Long,Trả tiền cổ tức năm 2009-2011 choBùi Văn Long,-,-,-,-,(2.859.500),(2.859.500),,,,,-2859500.0,-2859500.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,835.999.880.000,198.078.767.329,40.986.236.108,11.612.477.781,276.293.650.267,1.362.971.011.485,835999880000.0,198078767329.0,40986236108.0,11612477781.0,276293650267.0,1362971011485.0
