row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2017,01/01/2017,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017,numeric__01/01/2017
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,1.592.473.382.389,1.123.392.357.975,100.0,,1592473382389.0,1123392357975.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,385.121.136.250,271.195.540.667,110.0,51.0,385121136250.0,271195540667.0
1. Tiền,1. Tiền,1. Tiền,111,,90.325.084.055,119.168.304.270,111.0,,90325084055.0,119168304270.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,294.796.052.195,152.027.236.397,112.0,,294796052195.0,152027236397.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,50.000.000.000,-,120.0,,50000000000.0,
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,5.2,50.000.000.000,-,123.0,52.0,50000000000.0,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,719.353.770.982,392.511.532.808,130.0,,719353770982.0,392511532808.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.3,411.299.153.249,204.674.630.115,131.0,53.0,411299153249.0,204674630115.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.4,169.027.027.329,148.079.904.039,132.0,54.0,169027027329.0,148079904039.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,5.5,60.000.000.000,-,135.0,55.0,60000000000.0,
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.6,79.027.590.404,40.224.129.892,136.0,56.0,79027590404.0,40224129892.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,,-,(467.131.238),137.0,,,-467131238.0
