row_label_raw,row_label_full,col_0,col_1,31/12/2017 > Giá trịVND,31/12/2017 > Số có khả năngtrả nợVND,01/01/2017 > Giá trịVND,01/01/2017 > Số có khả năngtrả nợVND,numeric__col_1,numeric__31/12/2017 > Giá trịVND,numeric__31/12/2017 > Số có khả năngtrả nợVND,numeric__01/01/2017 > Giá trịVND,numeric__01/01/2017 > Số có khả năngtrả nợVND
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,,,,,
,,,Phải trả nhà cung cấp nước ngoài,397.593.821.324,397.593.821.324,264.563.403.829,264.563.403.829,,397593821324.0,397593821324.0,264563403829.0,264563403829.0
,,,Phải trả nhà cung cấp trong nước,39.161.951.556,39.161.951.556,36.626.057.078,36.626.057.078,,39161951556.0,39161951556.0,36626057078.0,36626057078.0
Cộng,a. Các khoản phải trả người bán ngắn hạn > Cộng,Cộng,Cộng,436.755.772.880,436.755.772.880,301.189.460.907,301.189.460.907,,436755772880.0,436755772880.0,301189460907.0,301189460907.0
Trong đó: Phải trả người bán là các bên liên quan(Chi tiết thuyết minh 7.2),a. Các khoản phải trả người bán ngắn hạn > Trong đó: Phải trả người bán là các bên liên quan(Chi tiết thuyết minh 7.2),Trong đó: Phải trả người bán là các bên liên quan(Chi tiết thuyết minh 7.2),Trong đó: Phải trả người bán là các bên liên quan(Chi tiết thuyết minh 7.2),6.460.603.121,6.460.603.121,,,,6460603121.0,6460603121.0,,
5.17,5.17,5.17,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,,
,,,,31/12/2017,31/12/2017,01/01/2017,01/01/2017,,,,,
,,,,Giá trịVND,Số có khả năngtrả nợVND,Giá trịVND,Số có khả năngtrả nợVND,,,,,
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,,
,,,Người mua trả tiền trước nước ngoài,9.771.341.258,9.771.341.258,9.328.214.301,9.328.214.301,,9771341258.0,9771341258.0,9328214301.0,9328214301.0
,,,Người mua trả tiền trước trong nước,362.944.034,362.944.034,1.363.447.955,1.363.447.955,,362944034.0,362944034.0,1363447955.0,1363447955.0
Cộng,Người mua trả tiền trước ngắn hạn > Cộng,Cộng,Cộng,10.134.285.292,10.134.285.292,10.691.662.256,10.691.662.256,,10134285292.0,10134285292.0,10691662256.0,10691662256.0
