row_label_raw,row_label_full,col_0,2024VND,2023VND,numeric__2024VND,numeric__2023VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,145.827.662.533,108.909.881.324,145827662533.0,108909881324.0
Trích lập trong năm,Trích lập trong năm,Trích lập trong năm,11.270.065.790,66.792.089.518,11270065790.0,66792089518.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,(26.870.139.380),(29.874.308.309),-26870139380.0,-29874308309.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,130.227.588.943,145.827.662.533,130227588943.0,145827662533.0
