row_label_raw,row_label_full,31/12/2024 VND,1/1/2024 VND,numeric__1/1/2024 VND
400.993.165.167,400.993.165.167,400.993.165.167,436.540.705.500,436540705500.0
252.648.011.672,252.648.011.672,252.648.011.672,114.459.443.366,114459443366.0
171.609.360.756,171.609.360.756,171.609.360.756,283.545.093.202,283545093202.0
150.906.275.678,150.906.275.678,150.906.275.678,114.007.847.000,114007847000.0
109.933.069.913,109.933.069.913,109.933.069.913,4.853.534.209,4853534209.0
98.415.102.212,98.415.102.212,98.415.102.212,227.759.337.190,227759337190.0
87.274.514.998,87.274.514.998,87.274.514.998,80.641.120.535,80641120535.0
2.797.252.789,2.797.252.789,2.797.252.789,-,
-,2.797.252.789 > -,-,115.608.041.597,115608041597.0
-,2.797.252.789 > -,-,53.591.299.638,53591299638.0
1.274.576.753.185,2.797.252.789 > 1.274.576.753.185,1.274.576.753.185,1.431.006.422.237,1431006422237.0
