row_label_raw,row_label_full,col_0,Địa chỉ,Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết (%),Giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết (%),numeric__Giá gốc VND,numeric__Dự phòng VND,numeric__Giá trị hợp lý VND
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,
1. Công ty Cổ phần PC1 Hà Nội,Công ty con > 1. Công ty Cổ phần PC1 Hà Nội,1. Công ty Cổ phần PC1 Hà Nội,Hà Nội,"66,00%",3.519.064.933,-,(*),,0.66,3519064933.0,,
2. Công ty Cổ phần PC1 Miền Nam (trước đây là Công ty TNHH MTV Xây lắp Điện 1 – Miền Nam),Công ty con > 2. Công ty Cổ phần PC1 Miền Nam (trước đây là Công ty TNHH MTV Xây lắp Điện 1 – Miền Nam),2. Công ty Cổ phần PC1 Miền Nam (trước đây là Công ty TNHH MTV Xây lắp Điện 1 – Miền Nam),Tp. Hồ Chí Minh,"100,00%",25.000.000.000,-,(*),,1.0,25000000000.0,,
3. Công ty TNHH MTV Xây lắp Điện 1 – Miền Bắc,Công ty con > 3. Công ty TNHH MTV Xây lắp Điện 1 – Miền Bắc,3. Công ty TNHH MTV Xây lắp Điện 1 – Miền Bắc,Hà Nội,"100,00%",10.236.009.597,-,(*),,1.0,10236009597.0,,
4. Công ty Cổ phần PC1 Mỹ Đình (trước đây là Công ty TNHH MTV Xây lắp Điện 1 – Mỹ Đình),Công ty con > 4. Công ty Cổ phần PC1 Mỹ Đình (trước đây là Công ty TNHH MTV Xây lắp Điện 1 – Mỹ Đình),4. Công ty Cổ phần PC1 Mỹ Đình (trước đây là Công ty TNHH MTV Xây lắp Điện 1 – Mỹ Đình),Hà Nội,"100,00%",30.000.000.000,-,(*),,1.0,30000000000.0,,
5. Công ty TNHH MTV Xây lắp Điện 1 – Hà Đông,Công ty con > 5. Công ty TNHH MTV Xây lắp Điện 1 – Hà Đông,5. Công ty TNHH MTV Xây lắp Điện 1 – Hà Đông,Hà Nội,"100,00%",5.942.874.315,-,(*),,1.0,5942874315.0,,
6. Công ty TNHH MTV PC1 Nàng Hương,Công ty con > 6. Công ty TNHH MTV PC1 Nàng Hương,6. Công ty TNHH MTV PC1 Nàng Hương,Hà Nội,"100,00%",725.509.851,-,(*),,1.0,725509851.0,,
7. Công ty Cổ phần PC1 Thăng Long,Công ty con > 7. Công ty Cổ phần PC1 Thăng Long,7. Công ty Cổ phần PC1 Thăng Long,Hà Nội,"66,00%",3.566.251.625,-,(*),,0.66,3566251625.0,,
8. Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con > 8. Công ty TNHH Chế tạo Cột thép Đông Anh,8. Công ty TNHH Chế tạo Cột thép Đông Anh,Hà Nội,"90,00%",28.832.168.426,-,(*),,0.9,28832168426.0,,
9. Công ty Cổ phần Thủy điện Trung Thu,Công ty con > 9. Công ty Cổ phần Thủy điện Trung Thu,9. Công ty Cổ phần Thủy điện Trung Thu,Điện Biển,"60,00%",151.200.000.000,-,(*),,0.6,151200000000.0,,
10. Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty con > 10. Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,10. Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Hà Nội,"99,39%",102.338.000.000,-,(*),,0.9939,102338000000.0,,
11. Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Công ty con > 11. Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,11. Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Hà Nội,"51,00%",2.550.000.000,-,(*),,0.51,2550000000.0,,
12. Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Công ty con > 12. Công ty Cổ phần Cơ khí Ô tô Hòa Bình,12. Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Hà Nội,"99,83%",184.005.518.217,-,(*),,0.9983,184005518217.0,,
13. Công ty Cổ phần Năng lượng Bảo Lâm,Công ty con > 13. Công ty Cổ phần Năng lượng Bảo Lâm,13. Công ty Cổ phần Năng lượng Bảo Lâm,Cao Bằng,"99,90%",33.966.000.000,-,(*),,0.9990000000000001,33966000000.0,,
14. Công ty Cổ phần Đầu tư Năng lượng Miền Bắc,Công ty con > 14. Công ty Cổ phần Đầu tư Năng lượng Miền Bắc,14. Công ty Cổ phần Đầu tư Năng lượng Miền Bắc,Cao Bằng,"51,00%",141.693.000.000,-,(*),,0.51,141693000000.0,,
15. Công ty Cổ phần Thương mại Đầu tư Tiến Bộ,Công ty con > 15. Công ty Cổ phần Thương mại Đầu tư Tiến Bộ,15. Công ty Cổ phần Thương mại Đầu tư Tiến Bộ,Hà Nội,"99,95%",154.145.058.545,-,(*),,0.9995,154145058545.0,,
16. Công ty Cổ phần Điện gió Liên Lập,Công ty con > 16. Công ty Cổ phần Điện gió Liên Lập,16. Công ty Cổ phần Điện gió Liên Lập,Quảng Trị,"55,54%",409.614.856.402,-,(*),,0.5554,409614856402.0,,
