row_label_raw,row_label_full,col_0,Khu văn phòng tại Chung cưNàng Hương VND,Khu văn phòng tại Chung cưMỹ Đình Plaza VND,Khu văn phòng tại Chung cưPCC1 Hà Đông Complex VND,Tổng cộng VND,numeric__Khu văn phòng tại Chung cưNàng Hương VND,numeric__Khu văn phòng tại Chung cưMỹ Đình Plaza VND,numeric__Khu văn phòng tại Chung cưPCC1 Hà Đông Complex VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.076.525.175,90.477.826.874,20.819.861.638,122.374.213.687,11076525175.0,90477826874.0,20819861638.0,122374213687.0
Nhượng bán,Nguyên giá > Nhượng bán,Nhượng bán,-,-,(20.819.861.638),(20.819.861.638),,,-20819861638.0,-20819861638.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.076.525.175,90.477.826.874,-,101.554.352.049,11076525175.0,90477826874.0,,101554352049.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.298.050.918,39.436.638.410,6.286.442.679,51.021.132.007,5298050918.0,39436638410.0,6286442679.0,51021132007.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,399.871.729,3.597.484.180,278.769.010,4.276.124.919,399871729.0,3597484180.0,278769010.0,4276124919.0
Nhượng bán,Giá trị hao mòn lũy kế > Nhượng bán,Nhượng bán,-,-,(6.565.211.689),(6.565.211.689),,,-6565211689.0,-6565211689.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.697.922.647,43.034.122.590,-,48.732.045.237,5697922647.0,43034122590.0,,48732045237.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.778.474.257,51.041.188.464,14.533.418.959,71.353.081.680,5778474257.0,51041188464.0,14533418959.0,71353081680.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,5.378.602.528,47.443.704.284,-,52.822.306.812,5378602528.0,47443704284.0,,52822306812.0
