row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,"Giấy phép, quyền khai thác, quyền phát hành và bản quyền VND",Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,"numeric__Giấy phép, quyền khai thác, quyền phát hành và bản quyền VND",numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,253.131.450.889,683.069.036.968,1.305.437.704.178,306.245.132.750,2.547.883.324.785,253131450889.0,683069036968.0,1305437704178.0,306245132750.0,2547883324785.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,24.148.193.868,63.948.029.415,7.782.134.757,-,95.878.358.040,24148193868.0,63948029415.0,7782134757.0,,95878358040.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,19.642.000.000,99.833.519.529,-,119.475.519.529,,19642000000.0,99833519529.0,,119475519529.0
"Thanh lý, xóa số","Nguyên giá > Thanh lý, xóa số","Thanh lý, xóa số",-,(43.690.962.463),(123.023.076.339),-,(166.714.038.802),,-43690962463.0,-123023076339.0,,-166714038802.0
Khác,Nguyên giá > Khác,Khác,(1.896.281.526),8.406.808.460,(7.443.578.625),(3.379.614),(936.431.305),-1896281526.0,8406808460.0,-7443578625.0,-3379614.0,-936431305.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,275.383.363.231,731.374.912.380,1.282.586.703.500,306.241.753.136,2.595.586.732.247,275383363231.0,731374912380.0,1282586703500.0,306241753136.0,2595586732247.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,(13.516.294.630),(441.929.571.038),(736.008.428.939),(69.368.840.224),(1.260.823.134.831),-13516294630.0,-441929571038.0,-736008428939.0,-69368840224.0,-1260823134831.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(1.471.376.223),(100.755.851.314),(124.463.421.348),(15.430.497.302),(242.121.146.187),-1471376223.0,-100755851314.0,-124463421348.0,-15430497302.0,-242121146187.0
"Thanh lý, xóa số","Giá trị khấu hao lũy kế > Thanh lý, xóa số","Thanh lý, xóa số",-,43.310.050.954,123.023.076.339,-,166.333.127.293,,43310050954.0,123023076339.0,,166333127293.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,-,185.099.430,(2.059.282.403),(4.254.116),(1.878.437.089),,185099430.0,-2059282403.0,-4254116.0,-1878437089.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,(14.987.670.853),(499.190.271.968),(739.508.056.351),(84.803.591.642),(1.338.489.590.814),-14987670853.0,-499190271968.0,-739508056351.0,-84803591642.0,-1338489590814.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,239.615.156.259,241.139.465.930,569.429.275.239,236.876.292.526,1.287.060.189.954,239615156259.0,241139465930.0,569429275239.0,236876292526.0,1287060189954.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,260.395.692.378,232.184.640.412,543.078.647.149,221.438.161.494,1.257.097.141.433,260395692378.0,232184640412.0,543078647149.0,221438161494.0,1257097141433.0
