row_label_raw,row_label_full,ii),Phải thu ngắn hạn của khách hàng (Thuyết minh 6),Phải thu ngắn hạn của khách hàng (Thuyết minh 6)_1,Phải thu ngắn hạn của khách hàng (Thuyết minh 6)_2,numeric__Phải thu ngắn hạn của khách hàng (Thuyết minh 6),numeric__Phải thu ngắn hạn của khách hàng (Thuyết minh 6)_1,numeric__Phải thu ngắn hạn của khách hàng (Thuyết minh 6)_2
ii),ii),ii),Công ty Cổ phần Synnex FPT,22.868.664.237,4.930.376.723,,22868664237.0,4930376723.0
ii),ii),ii),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,47.692.642.000,28.976.052.486,,47692642000.0,28976052486.0
,,,,70.561.306.237,33.906.429.209,,70561306237.0,33906429209.0
