row_label_raw,row_label_full,col_0,Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác,Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác_1,Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác_2,Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác_3,numeric__Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác,numeric__Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác_1,numeric__Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác_2,numeric__Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác_3
1,1,1,Ông Nguyễn Văn Khoa,Tổng Giám đốc,4.400.000.000,4.160.000.000,,,4400000000.0,4160000000.0
2,2,2,Ông Nguyễn Thế Phương,Phó Tổng Giám đốc,3.490.000.000,3.250.000.000,,,3490000000.0,3250000000.0
3,3,3,Ông Hoàng Việt Anh,Phó Tổng Giám đốc,3.236.360.000,2.600.000.000,,,3236360000.0,2600000000.0
4,4,4,Ông Hoàng Hữu Chiến,Kế toán trưởng,2.060.000.000,1.820.000.000,,,2060000000.0,1820000000.0
5,5,5,Bà Mai Thị Lan Anh,Phụ trách Công bố thông tin (từ ngày 7/4/2022),832.000.000,572.000.000,,,832000000.0,572000000.0
6,6,6,Ông Dương Hoàng Phú,Phụ trách Công bố thông tin (đến ngày 7/4/2022),-,124.059.524,,,,124059524.0
,,,,,14.018.360.000,12.526.059.524,,,14018360000.0,12526059524.0
