row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,5.803.697.547.598,12.320.683.591.437,95.630.050.089,680.242.880.760,107.728.327.229,19.007.982.397.113,5803697547598.0,12320683591437.0,95630050089.0,680242880760.0,107728327229.0,19007982397113.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,106.623.373.952,918.584.598.708,25.272.914.915,90.635.223.474,6.173.891.848,1.147.290.002.897,106623373952.0,918584598708.0,25272914915.0,90635223474.0,6173891848.0,1147290002897.0
Chuyển từ xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,1.258.018.606.019,1.181.097.015.324,-,1.672.339.800,297.984.210,2.441.085.945.353,1258018606019.0,1181097015324.0,,1672339800.0,297984210.0,2441085945353.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",(27.650.767.723),(290.328.838.735),(7.423.994.982),(23.390.394.258),(700.741.251),(349.494.736.949),-27650767723.0,-290328838735.0,-7423994982.0,-23390394258.0,-700741251.0,-349494736949.0
Khác,Nguyên giá > Khác,Khác,6.089.685.293,87.985.402.856,(4.083.937.522),(45.841.572.287),(2.050.908.564),42.098.669.776,6089685293.0,87985402856.0,-4083937522.0,-45841572287.0,-2050908564.0,42098669776.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,7.146.778.445.139,14.218.021.769.590,109.395.032.500,703.318.477.489,111.448.553.472,22.288.962.278.190,7146778445139.0,14218021769590.0,109395032500.0,703318477489.0,111448553472.0,22288962278190.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,(971.466.792.307),(6.741.456.611.899),(62.000.083.955),(489.316.172.743),(29.511.597.689),(8.293.751.258.593),-971466792307.0,-6741456611899.0,-62000083955.0,-489316172743.0,-29511597689.0,-8293751258593.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(284.725.540.819),(1.494.858.198.764),(11.311.643.234),(72.782.498.704),(8.905.819.713),(1.872.583.701.234),-284725540819.0,-1494858198764.0,-11311643234.0,-72782498704.0,-8905819713.0,-1872583701234.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",16.353.472.066,251.831.989.476,5.138.363.879,22.130.111.980,497.381.428,295.951.318.829,16353472066.0,251831989476.0,5138363879.0,22130111980.0,497381428.0,295951318829.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,(8.952.315.338),(77.111.078.920),4.819.652.244,44.789.953.780,(7.973.709),(36.461.761.943),-8952315338.0,-77111078920.0,4819652244.0,44789953780.0,-7973709.0,-36461761943.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,(1.248.791.176.398),(8.061.593.900.107),(63.353.711.066),(495.178.605.687),(37.928.009.683),(9.906.845.402.941),-1248791176398.0,-8061593900107.0,-63353711066.0,-495178605687.0,-37928009683.0,-9906845402941.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,4.832.230.755.291,5.579.226.979.538,33.629.966.134,190.926.708.017,78.216.729.540,10.714.231.138.520,4832230755291.0,5579226979538.0,33629966134.0,190926708017.0,78216729540.0,10714231138520.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,5.897.987.268.741,6.156.427.869.483,46.041.321.434,208.139.871.802,73.520.543.789,12.382.116.875.249,5897987268741.0,6156427869483.0,46041321434.0,208139871802.0,73520543789.0,12382116875249.0
