row_label_raw,row_label_full,col_0,Giá trị ghi nhận tại ngày mua (*) VND,numeric__Giá trị ghi nhận tại ngày mua (*) VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,54.865.020.403,54865020403.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,191.694.698.549,191694698549.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,36.658.931.741,36658931741.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,14.833.270.887,14833270887.0
,,,298.051.921.580,298051921580.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,14.516.417.339,14516417339.0
Phải trả người lao động,Nợ phải trả > Phải trả người lao động,Phải trả người lao động,20.845.865.713,20845865713.0
Thuế và các khoản phải nộp Nhà nước,Nợ phải trả > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,6.498.614.387,6498614387.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,40.166.516.233,40166516233.0
,,,82.027.413.672,82027413672.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,216.024.507.908,216024507908.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,24.778.318.246,24778318246.0
Tài sản thuần theo tỷ lệ sở hữu,Nợ phải trả > Tài sản thuần theo tỷ lệ sở hữu,Tài sản thuần theo tỷ lệ sở hữu,191.246.189.662,191246189662.0
Lợi thế thương mại (Thuyết minh 16),Nợ phải trả > Lợi thế thương mại (Thuyết minh 16),Lợi thế thương mại (Thuyết minh 16),1.066.567.103.038,1066567103038.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,1.257.813.292.700,1257813292700.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,54.865.020.403,54865020403.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,1.202.948.272.297,1202948272297.0
