row_label_raw,row_label_full,col_0,31/12/2023 > Giá trị ghi sò VND,31/12/2023 > Giá trị hợp lý VND,31/12/2023 > Dự phòng VND,31/12/2022 > Giá trị ghi sò VND,31/12/2022 > Giá trị hợp lý VND,31/12/2022 > Dự phòng VND,numeric__31/12/2023 > Giá trị ghi sò VND,numeric__31/12/2023 > Giá trị hợp lý VND,numeric__31/12/2023 > Dự phòng VND,numeric__31/12/2022 > Giá trị ghi sò VND,numeric__31/12/2022 > Giá trị hợp lý VND,numeric__31/12/2022 > Dự phòng VND
Ngân hàng TMCP Tiên Phong (*),Ngân hàng TMCP Tiên Phong (*),Ngân hàng TMCP Tiên Phong (*),494.371.420.000,2.594.332.639.800,-,494.371.420.000,2.254.864.654.050,-,494371420000.0,2594332639800.0,,494371420000.0,2254864654050.0,
Công ty Cổ phần Chứng khoán FPT (*),Công ty Cổ phần Chứng khoán FPT (*),Công ty Cổ phần Chứng khoán FPT (*),451.052.683.613,1.858.073.762.100,-,451.052.683.613,715.007.525.400,-,451052683613.0,1858073762100.0,,451052683613.0,715007525400.0,
Khác,Khác,Khác,1.884.924.709.425,(**),(1.623.156.391.089),1.453.649.014.971,(**),(1.376.710.238.490),1884924709425.0,,-1623156391089.0,1453649014971.0,,-1376710238490.0
,,,2.830.348.813.038,,(1.623.156.391.089),2.399.073.118.584,,(1.376.710.238.490),2830348813038.0,,-1623156391089.0,2399073118584.0,,-1376710238490.0
