row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,,,,,,,,,
1/1/2022,Tại ngày > 1/1/2022,1/1/2022,9.075.516.490.000,49.713.213.411,1.178.174.776.366,(823.760.000),(22.561.932.248),570.491.625.643,87.203.093.024,7.000.480.585.004,17.938.194.091.200,9075516490000.0,49713213411.0,1178174776366.0,-823760000.0,-22561932248.0,570491625643.0,87203093024.0,7000480585004.0,17938194091200.0
Phát hành cổ phiếu,Tại ngày > Phát hành cổ phiếu,Phát hành cổ phiếu,66.442.650.000,-,-,823.760.000,-,-,-,-,67.266.410.000,66442650000.0,,,823760000.0,,,,,67266410000.0
Lợi nhuận thuần trong năm,Tại ngày > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,5.309.846.037.552,5.309.846.037.552,,,,,,,,5309846037552.0,5309846037552.0
"Trích quỹ khen thưởng, phúc lợi","Tại ngày > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(461.504.437.652),(461.504.437.652),,,,,,,,-461504437652.0,-461504437652.0
Trích và sử dụng quỹ đầu tư phát triển,Tại ngày > Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,-,-,-,-,-,515.779.100.405,-,(273.810.529.251),241.968.571.154,,,,,,515779100405.0,,-273810529251.0,241968571154.0
Chia cổ tức bằng cổ phiếu,Tại ngày > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,1.828.306.580.000,-,-,-,-,-,-,(1.828.306.580.000),-,1828306580000.0,,,,,,,-1828306580000.0,
Chia cổ tức bằng tiền,Tại ngày > Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,-,-,(2.011.222.486.000),(2.011.222.486.000),,,,,,,,-2011222486000.0,-2011222486000.0
Khác,Tại ngày > Khác,Khác,-,-,890.091.781,-,(17.918.758.309),-,-,(23.801.105.112),(40.829.771.640),,,890091781.0,,-17918758309.0,,,-23801105112.0,-40829771640.0
Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,Tại ngày,,,,,,,,,
