row_label_raw,row_label_full,col_0,Giá trị ghi nhận trước thời điểm hợp nhất kinh doanh Triệu VND,Các điều chỉnh giá trị hợp lý Triệu VND,Giá trị ghi nhận Triệu VND,numeric__Giá trị ghi nhận trước thời điểm hợp nhất kinh doanh Triệu VND,numeric__Các điều chỉnh giá trị hợp lý Triệu VND,numeric__Giá trị ghi nhận Triệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,25.004,-,25.004,25004.0,,25004.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,54.400,-,54.400,54400.0,,54400.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,89.195,-,89.195,89195.0,,89195.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,23,-,23,23.0,,23.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,24.280,38.351,62.631,24280.0,38351.0,62631.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,478,-,478,478.0,,478.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,456,11.173,11.629,456.0,11173.0,11629.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,(159),-,(159),-159.0,,-159.0
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,(1.265),-,(1.265),-1265.0,,-1265.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(639),-,(639),-639.0,,-639.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,(189.351),-,(189.351),-189351.0,,-189351.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(7.429),(7.429),,-7429.0,-7429.0
Tổng tài sản thuần có thể xác định được từ hợp nhất kinh doanh,Tổng tài sản thuần có thể xác định được từ hợp nhất kinh doanh,Tổng tài sản thuần có thể xác định được từ hợp nhất kinh doanh,2.422,42.095,44.517,2422.0,42095.0,44517.0
Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,,,44.517,,,44517.0
Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,,,15.483,,,15483.0
Tổng khoản thanh toán,Tổng khoản thanh toán,Tổng khoản thanh toán,,,60.000,,,60000.0
Tiền và các khoản tương đương tiền thu được từ hợp nhất kinh doanh,Tiền và các khoản tương đương tiền thu được từ hợp nhất kinh doanh,Tiền và các khoản tương đương tiền thu được từ hợp nhất kinh doanh,,,(25.004),,,-25004.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,34.996,,,34996.0
