row_label_raw,row_label_full,col_0,1/1/2025Giá trị ghi sổ/Số có khả năngtrả nợTriệu VND,Biến động trong năm > TăngTriệu VND,Biến động trong năm > Hoàn trảTriệu VND,Biến động trong năm > Đánh giá lạiTriệu VND,31/12/2025Giá trị ghi sổ/Số có khả năngtrả nợTriệu VND,numeric__1/1/2025Giá trị ghi sổ/Số có khả năngtrả nợTriệu VND,numeric__Biến động trong năm > TăngTriệu VND,numeric__Biến động trong năm > Hoàn trảTriệu VND,numeric__Biến động trong năm > Đánh giá lạiTriệu VND,numeric__31/12/2025Giá trị ghi sổ/Số có khả năngtrả nợTriệu VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,17.999.105,47.993.545,(49.819.130),(24.040),16.149.480,17999105.0,47993545.0,-49819130.0,-24040.0,16149480.0
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh 20)","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh 20)","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh 20)",8.725.061,8.519.872,(9.063.429),-,8.181.504,8725061.0,8519872.0,-9063429.0,,8181504.0
,,,26.724.166,56.513.417,(58.882.559),(24.040),24.330.984,26724166.0,56513417.0,-58882559.0,-24040.0,24330984.0
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,,
,,,,Loạitiền tệ,Lãi suấtnăm,31/12/2025Triệu VND,1/1/2025Triệu VND,,,,,
Khoản vay ngân hàng có đảm bảo,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay ngân hàng có đảm bảo,Khoản vay ngân hàng có đảm bảo,,VND,"4,2% - 6,8%",1.830.798,1.886.497,,,,1830798.0,1886497.0
Khoản vay ngân hàng có đảm bảo,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay ngân hàng có đảm bảo,Khoản vay ngân hàng có đảm bảo,,USD,"5,0% - 6,6%",1.805.492,2.366.144,,,,1805492.0,2366144.0
Khoản vay ngân hàng không đảm bảo,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay ngân hàng không đảm bảo,Khoản vay ngân hàng không đảm bảo,,VND,"4,5% - 7,0%",12.043.932,13.306.768,,,,12043932.0,13306768.0
Khoản vay ngân hàng không đảm bảo,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay ngân hàng không đảm bảo,Khoản vay ngân hàng không đảm bảo,,USD,"4,7% - 6,8%",469.258,439.696,,,,469258.0,439696.0
,,,,,,16.149.480,17.999.105,,,,16149480.0,17999105.0
