row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng và khác Triệu VND,Tài sản khai khoáng khác Triệu VND,Tổng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng và khác Triệu VND,numeric__Tài sản khai khoáng khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,16.228.659,54.200,25.476.542,161.839,612.358,5.095.927,47.629.525,16228659.0,54200.0,25476542.0,161839.0,612358.0,5095927.0,47629525.0
Tăng từ hợp nhất kinh doanh,Nguyên giá > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,57.310,-,5.082,-,239,-,62.631,57310.0,,5082.0,,239.0,,62631.0
Tăng trong năm/Điều chỉnh sau quyết toán,Nguyên giá > Tăng trong năm/Điều chỉnh sau quyết toán,Tăng trong năm/Điều chỉnh sau quyết toán,1.236,130,97.434,8.558,106.136,41.798,255.292,1236.0,130.0,97434.0,8558.0,106136.0,41798.0,255292.0
Chuyển từ xây dựng cơ bản đồ dang,Nguyên giá > Chuyển từ xây dựng cơ bản đồ dang,Chuyển từ xây dựng cơ bản đồ dang,378.967,-,643.597,4.453,41.075,-,1.068.092,378967.0,,643597.0,4453.0,41075.0,,1068092.0
Chuyển (sang)/từ chi phí trả trước dài hạn,Nguyên giá > Chuyển (sang)/từ chi phí trả trước dài hạn,Chuyển (sang)/từ chi phí trả trước dài hạn,(26),-,36,(93),(657),-,(740),-26.0,,36.0,-93.0,-657.0,,-740.0
Chuyển từ bắt động sản đầu tư,Nguyên giá > Chuyển từ bắt động sản đầu tư,Chuyển từ bắt động sản đầu tư,18.628,-,-,-,-,-,18.628,18628.0,,,,,,18628.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,-,184.190,-,155,-,184.345,,,184190.0,,155.0,,184345.0
Thanh lý/Xóa số,Nguyên giá > Thanh lý/Xóa số,Thanh lý/Xóa số,(44.185),(125),(260.771),(2.146),(54.055),-,(361.282),-44185.0,-125.0,-260771.0,-2146.0,-54055.0,,-361282.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(57),-,(500),180,377,-,-,-57.0,,-500.0,180.0,377.0,,
Khác,Nguyên giá > Khác,Khác,-,-,18,-,-,-,18,,,18.0,,,,18.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,16.640.532,54.205,26.145.628,172.791,705.628,5.137.725,48.856.509,16640532.0,54205.0,26145628.0,172791.0,705628.0,5137725.0,48856509.0
