row_label_raw,row_label_full,col_0,Vốn cổ phần Triệu VND,Thặng dư vốn cổ phần Triệu VND,Vốn khác của chủ sở hữu Triệu VND,Chênh lệch tỷ giá hối đoái Triệu VND,Quỹ khác thuộc vốn chủ sở hữu Triệu VND,Lợi nhuận sau thuế chưa phân phối Triệu VND,Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,Lợi ích cổ đông không kiểm soát Triệu VND,Tổng Triệu VND,numeric__Vốn cổ phần Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Vốn khác của chủ sở hữu Triệu VND,numeric__Chênh lệch tỷ giá hối đoái Triệu VND,numeric__Quỹ khác thuộc vốn chủ sở hữu Triệu VND,numeric__Lợi nhuận sau thuế chưa phân phối Triệu VND,numeric__Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,numeric__Lợi ích cổ đông không kiểm soát Triệu VND,numeric__Tổng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,14.308.434,8.723.078,(8.388.147),(224.222),342.381,11.798.056,26.559.580,11.677.661,38.237.241,14308434.0,8723078.0,-8388147.0,-224222.0,342381.0,11798056.0,26559580.0,11677661.0,38237241.0
Phát hành cổ phiếu ưu đãi cổ tức có quyền chuyển đổi,Phát hành cổ phiếu ưu đãi cổ tức có quyền chuyển đổi,Phát hành cổ phiếu ưu đãi cổ tức có quyền chuyển đổi,745.765,5.441.530,-,-,-,-,6.187.295,-,6.187.295,745765.0,5441530.0,,,,,6187295.0,,6187295.0
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,75.082,(50),-,-,-,-,75.032,-,75.032,75082.0,-50.0,,,,,75032.0,,75032.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.999.059,1.999.059,2.273.325,4.272.384,,,,,,1999059.0,1999059.0,2273325.0,4272384.0
Cổ tức được công bố bởi công ty con,Cổ tức được công bố bởi công ty con,Cổ tức được công bố bởi công ty con,-,-,-,-,-,-,-,(1.740.742),(1.740.742),,,,,,,,-1740742.0,-1740742.0
Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,(4.994.973),(4.994.973),(1.411.820),(6.406.793),,,,,,-4994973.0,-4994973.0,-1411820.0,-6406793.0
"Tái đánh giá nợ phải trả phúc lợi hữu trí, trừ đi ảnh hưởng thuế","Tái đánh giá nợ phải trả phúc lợi hữu trí, trừ đi ảnh hưởng thuế","Tái đánh giá nợ phải trả phúc lợi hữu trí, trừ đi ảnh hưởng thuế",-,-,-,-,182.347,-,182.347,(13.988),168.359,,,,,182347.0,,182347.0,-13988.0,168359.0
Thanh lý các công ty con,Thanh lý các công ty con,Thanh lý các công ty con,-,-,-,213.176,(524.728),524.728,213.176,(271.319),(58.143),,,,213176.0,-524728.0,524728.0,213176.0,-271319.0,-58143.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,20.516,-,-,20.516,(2.769),17.747,,,,20516.0,,,20516.0,-2769.0,17747.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,15.129.281,14.164.558,(8.388.147),9.470,-,9.326.870,30.242.032,10.510.348,40.752.380,15129281.0,14164558.0,-8388147.0,9470.0,,9326870.0,30242032.0,10510348.0,40752380.0
