row_label_raw,row_label_full,col_0,Quyền khai thác mò Triệu VND,Chi phí phục hồi môi trường mò Triệu VND,Trợ cấp thời việc Triệu VND,Tổng Triệu VND,numeric__Quyền khai thác mò Triệu VND,numeric__Chi phí phục hồi môi trường mò Triệu VND,numeric__Trợ cấp thời việc Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,340.459,124.830,22.597,487.886,340459.0,124830.0,22597.0,487886.0
Dự phòng trích lập/(hoàn nhập) trong năm,Dự phòng trích lập/(hoàn nhập) trong năm,Dự phòng trích lập/(hoàn nhập) trong năm,5.681,47.752,(283),53.150,5681.0,47752.0,-283.0,53150.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,-,-,(1.138),(1.138),,,-1138.0,-1138.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,346.140,172.582,21.176,539.898,346140.0,172582.0,21176.0,539898.0
