row_label_raw,row_label_full,TÀI SẢN (tiếp theo),Mã số,Thuyết minh,31/12/2025 Triệu VND,1/1/2025 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 Triệu VND,numeric__1/1/2025 Triệu VND
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,92.728.676,94.015.055,200.0,,92728676.0,94015055.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,7,4.949.625,8.524.390,210.0,7.0,4949625.0,8524390.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,,-,79.200,215.0,,,79200.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,4.949.625,8.445.190,216.0,,4949625.0,8445190.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,35.484.220,37.049.770,220.0,,35484220.0,37049770.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,9,26.392.688,27.121.453,221.0,9.0,26392688.0,27121453.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,48.856.509,47.629.525,222.0,,48856509.0,47629525.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(22.463.821),(20.508.072),223.0,,-22463821.0,-20508072.0
Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,224,,204.139,222.742,224.0,,204139.0,222742.0
Nguyên giá,Nguyên giá,Nguyên giá,225,,345.223,345.223,225.0,,345223.0,345223.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,226,,(141.084),(122.481),226.0,,-141084.0,-122481.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,10,8.887.393,9.705.575,227.0,10.0,8887393.0,9705575.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,13.373.916,13.952.693,228.0,,13373916.0,13952693.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(4.486.523),(4.247.118),229.0,,-4486523.0,-4247118.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,,-,4.166,230.0,,,4166.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,-,18.628,231.0,,,18628.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,-,(14.462),232.0,,,-14462.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,1.160.909,1.670.868,240.0,,1160909.0,1670868.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,242,11,1.160.909,1.670.868,242.0,11.0,1160909.0,1670868.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,12,39.473.083,35.318.781,250.0,12.0,39473083.0,35318781.0
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,252,,37.967.233,33.409.931,252.0,,37967233.0,33409931.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,253,,2.932.523,2.932.523,253.0,,2932523.0,2932523.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,,(1.426.673),(1.023.673),254.0,,-1426673.0,-1023673.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,11.660.839,11.447.080,260.0,,11660839.0,11447080.0
Chỉ phí trả trước dài hạn,Chỉ phí trả trước dài hạn,Chỉ phí trả trước dài hạn,261,13,8.172.153,7.170.989,261.0,13.0,8172153.0,7170989.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,14,520.888,687.989,262.0,14.0,520888.0,687989.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,15,2.967.798,3.588.102,269.0,15.0,2967798.0,3588102.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,270,,128.963.171,147.584.718,270.0,,128963171.0,147584718.0
