row_label_raw,row_label_full,col_0,2025Triệu VND,2024Triệu VND,numeric__2025Triệu VND,numeric__2024Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.670.868,3.127.230,1670868.0,3127230.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,2.043.877,2.997.229,2043877.0,2997229.0
Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,478,-,478.0,
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(1.068.092),(2.126.626),-1068092.0,-2126626.0
Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,(22.874),(1.067.839),-22874.0,-1067839.0
Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(1.335.672),(445.241),-1335672.0,-445241.0
Thanh lý/Xóa số,Thanh lý/Xóa số,Thanh lý/Xóa số,(127.676),(558.190),-127676.0,-558190.0
Thanh lý các công ty con,Thanh lý các công ty con,Thanh lý các công ty con,-,(250.782),,-250782.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,(4.913),,-4913.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.160.909,1.670.868,1160909.0,1670868.0
