row_label_raw,row_label_full,STT,Tên công ty,Thuyết minh,Hoạt động chính,Tỷ lệ lợi ích tại > 31/12/2025,Tỷ lệ lợi ích tại > 1/1/2025,numeric__Tên công ty,numeric__Thuyết minh,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích tại > 31/12/2025,numeric__Tỷ lệ lợi ích tại > 1/1/2025
3,3,3,"Công ty TNHH Masan Brewery (""MB"")",(i)/(k),Tư vấn quản lý đầu tư,"63,0%","48,5%",,,,0.63,0.485
4,4,4,"Công ty TNHH Masan Master Brewer (""MMBr"")",(i)/(k),Kinh doanh bia và nước giải khát,"63,0%","48,5%",,,,0.63,0.485
5,5,5,"Công ty TNHH Một Thành viên Masan Brewery PY (""MBPY"")",(i)/(k),Sản xuất bia và nước giải khát,"63,0%","48,5%",,,,0.63,0.485
6,6,6,"Công ty TNHH Một Thành viên Masan Brewery HG (""MBHG"")",(i)/(k),Sản xuất bia và nước giải khát,"63,0%","48,5%",,,,0.63,0.485
7,7,7,"Công ty TNHH Một Thành viên Masan Brewery Distribution (""MBD"")",(i)/(k),Kinh doanh bia và nước giải khát,"63,0%","48,5%",,,,0.63,0.485
8,8,8,"Công ty TNHH Masan Brewery MB (""MBMB"")",(i)/(k),Sản xuất bia và nước giải khát,"63,0%","48,5%",,,,0.63,0.485
9,9,9,"Công ty Cổ phần Hàng tiêu dùng Masan (""MCH"")",(i)/(d)/(j),Kinh doanh và phân phối,"66,2%","67,4%",,,,0.662,0.674
10,10,10,"Masan Consumer (Thailand) Limited (""MTH"")",(i)/(k),Kinh doanh và phân phối,"66,2%","67,4%",,,,0.662,0.674
11,11,11,"Công ty TNHH Một Thành viên Thực phẩm Masan (""MSF"")",(i)/(k),Kinh doanh và phân phối,"66,2%","67,4%",,,,0.662,0.674
12,12,12,"Công ty TNHH Một Thành viên Công nghiệp Masan (""MSI"")",(i)/(k),"Sản xuất gia vị, thực phẩm tiện lợi và bao bì","66,2%","67,4%",,,,0.662,0.674
13,13,13,"Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến (""VTF"")",(i)/(k),Sản xuất gia vị,"66,2%","67,4%",,,,0.662,0.674
14,14,14,"Công ty TNHH Một Thành viên Masan HD (""MHD"")",(i)/(k),Sản xuất thực phẩm tiện lợi,"66,2%","67,4%",,,,0.662,0.674
15,15,15,"Công ty Cổ phần Masan PQ (""MPQ"")",(i)/(k),Sản xuất gia vị,"66,2%","67,4%",,,,0.662,0.674
16,16,16,"Công ty TNHH Một Thành viên Nam Ngư Phú Quốc (""NPQ"")",(i)/(k),Sản xuất gia vị,"66,2%","67,4%",,,,0.662,0.674
17,17,17,"Công ty TNHH Masan Long An (""MLA"")",(i)/(k),"Sản xuất gia vị, thực phẩm tiện lợi và bao bì","66,2%","67,4%",,,,0.662,0.674
18,18,18,"Công ty TNHH Masan HN (""HNF"")",(i)/(k),Sản xuất thực phẩm tiện lợi,"66,2%","67,4%",,,,0.662,0.674
