row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2025Triệu VND,2024Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2025Triệu VND,numeric__2024Triệu VND
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,01,27,81.927.677,83.456.446,1.0,27.0,81927677.0,83456446.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,27,306.348,278.726,2.0,27.0,306348.0,278726.0
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,10,27,81.621.329,83.177.720,10.0,27.0,81621329.0,83177720.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,28,56.040.719,58.521.982,11.0,28.0,56040719.0,58521982.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,20,,25.580.610,24.655.738,20.0,,25580610.0,24655738.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,29,2.094.248,4.043.530,21.0,29.0,2094248.0,4043530.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,30,6.916.498,7.900.139,22.0,30.0,6916498.0,7900139.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,5.418.158,6.404.706,23.0,,5418158.0,6404706.0
Phần lãi từ các công ty liên kết,Phần lãi từ các công ty liên kết,Phần lãi từ các công ty liên kết,24,,5.080.057,4.443.769,24.0,,5080057.0,4443769.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,31,14.202.530,14.565.375,25.0,31.0,14202530.0,14565375.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,32,3.713.793,3.916.974,26.0,32.0,3713793.0,3916974.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,7.922.094,6.760.549,30.0,,7922094.0,6760549.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,33,446.488,180.026,31.0,33.0,446488.0,180026.0
Chi phí khác,Chi phí khác,Chi phí khác,32,34,480.492,915.772,32.0,34.0,480492.0,915772.0
Kết quả của các hoạt động khác,Kết quả của các hoạt động khác,Kết quả của các hoạt động khác,40,,(34.004),(735.746),40.0,,-34004.0,-735746.0
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,50,,7.888.090,6.024.803,50.0,,7888090.0,6024803.0
Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành,51,35,1.036.709,1.510.936,51.0,35.0,1036709.0,1510936.0
Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,52,35,87.870,241.483,52.0,35.0,87870.0,241483.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,60,,6.763.511,4.272.384,60.0,,6763511.0,4272384.0
