row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2025 Triệu VND,2024 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2025 Triệu VND,numeric__2024 Triệu VND
LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
Tiền thu từ phát hành cổ phiếu trừ đi chi phí phát hành liên quan,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ phát hành cổ phiếu trừ đi chi phí phát hành liên quan,Tiền thu từ phát hành cổ phiếu trừ đi chi phí phát hành liên quan,31,,75.589,6.411.786,31.0,,75589.0,6411786.0
Tiền thu từ phát hành cổ phiếu của các công ty con sở hữu gián tiếp cho cổ đông không kiểm soát,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ phát hành cổ phiếu của các công ty con sở hữu gián tiếp cho cổ đông không kiểm soát,Tiền thu từ phát hành cổ phiếu của các công ty con sở hữu gián tiếp cho cổ đông không kiểm soát,31,,2.747.005,-,31.0,,2747005.0,
Tiền chi mua lại cổ phiếu của một công ty con sở hữu gián tiếp từ cổ đông không kiểm soát,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chi mua lại cổ phiếu của một công ty con sở hữu gián tiếp từ cổ đông không kiểm soát,Tiền chi mua lại cổ phiếu của một công ty con sở hữu gián tiếp từ cổ đông không kiểm soát,32,,(2.551.526),-,32.0,,-2551526.0,
"Tiền thu từ đi vay, phát hành trái phiếu và khác","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay, phát hành trái phiếu và khác","Tiền thu từ đi vay, phát hành trái phiếu và khác",33,,59.984.641,93.606.481,33.0,,59984641.0,93606481.0
"Tiền trả nợ gốc vay, trái phiếu và khác","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay, trái phiếu và khác","Tiền trả nợ gốc vay, trái phiếu và khác",34,,(84.136.781),(88.611.315),34.0,,-84136781.0,-88611315.0
Tiền trả nợ gốc thuê tài chính,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,,(12.259),(14.108),35.0,,-12259.0,-14108.0
Tiền chi trả cổ tức,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chi trả cổ tức,Tiền chi trả cổ tức,36,,(890.481),(1.721.291),36.0,,-890481.0,-1721291.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(24.783.812),9.671.553,40.0,,-24783812.0,9671553.0
Lưu chuyển tiền thuần trong năm,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,,(6.515.362),8.503.478,50.0,,-6515362.0,8503478.0
Tiền và các khoản tương đương tiền đầu năm,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,,18.617.866,10.124.515,60.0,,18617866.0,10124515.0
Ảnh hưởng của thay đổi tỷ giá hối đoái,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái,Ảnh hưởng của thay đổi tỷ giá hối đoái,61,,(654),(10.127),61.0,,-654.0,-10127.0
Tiền và các khoản tương đương tiền cuối năm,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,70,6,12.101.850,18.617.866,70.0,6.0,12101850.0,18617866.0
