row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2025 Triệu VND,1/1/2025 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 Triệu VND,numeric__1/1/2025 Triệu VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,83.884.527,106.832.338,300.0,,83884527.0,106832338.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,40.257.475,58.712.175,310.0,,40257475.0,58712175.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,,8.362.579,7.171.217,311.0,,8362579.0,7171217.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,312,,282.983,196.922,312.0,,282983.0,196922.0
Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,313,16,705.158,1.017.379,313.0,16.0,705158.0,1017379.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,314,,322.128,251.950,314.0,,322128.0,251950.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,17(a),5.264.674,4.787.142,315.0,,5264674.0,4787142.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,26.266,23.075,318.0,,26266.0,23075.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,18(a),839.844,18.489.608,319.0,,839844.0,18489608.0
"Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn",320,19,24.330.984,26.724.166,320.0,19.0,24330984.0,26724166.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,,91.734,19.591,321.0,,91734.0,19591.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,31.125,31.125,322.0,,31125.0,31125.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,43.627.052,48.120.163,330.0,,43627052.0,48120163.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,,10.666,16.166,331.0,,10666.0,16166.0
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,17(b),2.679,102.080,333.0,,2679.0,102080.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,18(b),162.921,6.212.349,337.0,,162921.0,6212349.0
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",338,20,40.546.194,38.825.185,338.0,20.0,40546194.0,38825185.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,14,2.364.694,2.476.497,341.0,14.0,2364694.0,2476497.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,21,539.898,487.886,342.0,21.0,539898.0,487886.0
