row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng và khác Triệu VND,Tài sản khai khoáng khác Triệu VND,Tổng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng và khác Triệu VND,numeric__Tài sản khai khoáng khác Triệu VND,numeric__Tổng Triệu VND
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,,
Số dư đầu năm,Khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,5.259.106,53.137,13.015.315,82.878,220.518,1.877.118,20.508.072,5259106.0,53137.0,13015315.0,82878.0,220518.0,1877118.0,20508072.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,769.984,1.064,1.350.340,22.620,50.531,79.960,2.274.499,769984.0,1064.0,1350340.0,22620.0,50531.0,79960.0,2274499.0
Chuyển sang chi phí trả trước dài hạn,Khấu hao lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(26),-,(1.221),(21),(787),-,(2.055),-26.0,,-1221.0,-21.0,-787.0,,-2055.0
Chuyển từ bất động sản đầu tư,Khấu hao lũy kế > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,15.834,-,-,-,-,-,15.834,15834.0,,,,,,15834.0
Thanh lý/Xóa số,Khấu hao lũy kế > Thanh lý/Xóa số,Thanh lý/Xóa số,(40.812),(120),(244.097),(1.966),(45.534),-,(332.529),-40812.0,-120.0,-244097.0,-1966.0,-45534.0,,-332529.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,-,-,(72),(38),110,-,-,,,-72.0,-38.0,110.0,,
Số dư cuối năm,Khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,6.004.086,54.081,14.120.265,103.473,224.838,1.957.078,22.463.821,6004086.0,54081.0,14120265.0,103473.0,224838.0,1957078.0,22463821.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,10.969.553,1.063,12.461.227,78.961,391.840,3.218.809,27.121.453,10969553.0,1063.0,12461227.0,78961.0,391840.0,3218809.0,27121453.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,10.636.446,124,12.025.363,69.318,480.790,3.180.647,26.392.688,10636446.0,124.0,12025363.0,69318.0,480790.0,3180647.0,26392688.0
