row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2025Triệu VND,1/1/2025Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025Triệu VND,numeric__1/1/2025Triệu VND
TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,100,,36.234.495,53.569.663,100.0,,36234495.0,53569663.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,12.101.850,18.617.866,110.0,6.0,12101850.0,18617866.0
Tiền,Tiền,Tiền,111,,1.013.866,6.064.564,111.0,,1013866.0,6064564.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,11.087.984,12.553.302,112.0,,11087984.0,12553302.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,12,5.379.753,607.993,120.0,12.0,5379753.0,607993.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,,3.824.067,-,121.0,,3824067.0,
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,1.555.686,607.993,123.0,,1555686.0,607993.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,7,5.639.277,21.864.602,130.0,7.0,5639277.0,21864602.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,131,,1.274.262,1.302.889,131.0,,1274262.0,1302889.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,132,,542.864,484.488,132.0,,542864.0,484488.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,,81.150,81.150,135.0,,81150.0,81150.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,,3.771.567,20.067.610,136.0,,3771567.0,20067610.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,137,,(85.544),(85.092),137.0,,-85544.0,-85092.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,,54.978,13.557,139.0,,54978.0,13557.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,8,11.262.216,10.787.396,140.0,8.0,11262216.0,10787396.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,11.415.704,11.001.795,141.0,,11415704.0,11001795.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(153.488),(214.399),149.0,,-153488.0,-214399.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,1.851.399,1.691.806,150.0,,1851399.0,1691806.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,378.635,342.284,151.0,,378635.0,342284.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,1.363.276,1.232.869,152.0,,1363276.0,1232869.0
Thuế và các khoản khác phải thu Ngân sách Nhà nước,Thuế và các khoản khác phải thu Ngân sách Nhà nước,Thuế và các khoản khác phải thu Ngân sách Nhà nước,153,,109.488,116.653,153.0,,109488.0,116653.0
