row_label_raw,row_label_full,STT,Tên công ty,Thuyết minh,Hoạt động chính,Tỷ lệ lợi ích tại > 31/12/2025,Tỷ lệ lợi ích tại > 1/1/2025,numeric__Tên công ty,numeric__Thuyết minh,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích tại > 31/12/2025,numeric__Tỷ lệ lợi ích tại > 1/1/2025
47,47,47,"Công ty TNHH MEATDeli Sài Gòn (""MEATDeli Sài Gòn"")",(iii)/(k),Chế biến thịt,"91,2%","94,3%",,,,0.912,0.943
48,48,48,"Công ty Cổ phần Masan Jinju (""MSJ"")",(iii)/(k),Sản xuất và kinh doanh thực phẩm tiên lợi,"68,4%","70,7%",,,,0.684,0.7070000000000001
49,49,49,"Công ty Cổ phần 3F VIỆT (""3F VIỆT"")",(iii)/(k),Chăn nuôi và kinh doanh gà,"46,5%","48,1%",,,,0.465,0.48100000000000004
50,50,50,"Công ty TNHH Thực Phẩm 3F VIỆT (""3F VIỆT Food"")",(iii)/(k),Chế biến và kinh doanh thịt,"46,5%","48,1%",,,,0.465,0.48100000000000004
51,51,51,"Công ty Cổ phần Phát triển Thương mại và Dịch vụ VCM (""WCM"")",(vi)/(k),Tự vấn quản lý đầu tư,"86,1%","78,7%",,,,0.861,0.787
52,52,52,"Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce (""WinCommerce"")",(iv)/(k),Kinh doanh và phân phối,"86,1%","78,7%",,,,0.861,0.787
53,53,53,"Công ty Cổ phần The Supra (""The Supra"")",(iv)/(k),Dịch vụ kho bãi và lưu trữ,"86,1%","78,7%",,,,0.861,0.787
54,54,54,"Công ty Cổ phần CX Infra (""CXI"")",(iv)/(h),Xây dựng,-,"40,1%",,,,,0.401
55,55,55,"Công ty TNHH Đầu tư Sản xuất Phát triển Nông nghiệp WinEco (""WinEco"")",(v),Nông nghiệp,"100,0%","100,0%",,,,1.0,1.0
56,56,56,"Công ty TNHH Đầu tư Sản xuất và Phát triển Nông nghiệp WinEco – Tam Đảo (""WinEco Tam Đảo"")",(v),Nông nghiệp,"89,0%","89,0%",,,,0.89,0.89
57,57,57,"Công ty TNHH Nông nghiệp Đồng Nai – WinEco (""WinEco Đồng Nai"")",(v),Nông nghiệp,"77,5%","77,5%",,,,0.775,0.775
58,58,58,"Công ty Cổ phần Dr. Win (""Dr. Win"")",(v),"Bán lẻ thuốc, thiết bị y tế, mỹ phẩm và sản phẩm vệ sinh","64,9%","64,9%",,,,0.649,0.649
59,59,59,"Công ty Cổ phần Mobicast (""MOB"")",(v),Viễn thông,"70,0%","70,0%",,,,0.7,0.7
