row_label_raw,row_label_full,NGUỒN VỐN (tiếp theo),Mã số,Thuyết minh,31/12/2025 Triệu VND,1/1/2025 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 Triệu VND,numeric__1/1/2025 Triệu VND
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,,45.078.644,40.752.380,400.0,,45078644.0,40752380.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,22,45.078.644,40.752.380,410.0,22.0,45078644.0,40752380.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,23,15.204.920,15.129.281,411.0,23.0,15204920.0,15129281.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,23,14.164.508,14.164.558,412.0,23.0,14164508.0,14164558.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,25,(8.388.147),(8.388.147),414.0,25.0,-8388147.0,-8388147.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,11.266,9.470,417.0,,11266.0,9470.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,14.355.609,9.326.870,421.0,,14355609.0,9326870.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,9.326.870,11.798.056,,,9326870.0,11798056.0
- Lợi nhuận/(Lỗ) thuần trong năm,- Lợi nhuận/(Lỗ) thuần trong năm,- Lợi nhuận/(Lỗ) thuần trong năm,421b,,5.028.739,(2.471.186),,,5028739.0,-2471186.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,9.730.488,10.510.348,429.0,,9730488.0,10510348.0
TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,440,,128.963.171,147.584.718,440.0,,128963171.0,147584718.0
