row_label_raw,row_label_full,col_0,Chi phí khai thác khoáng sản khác Triệu VND,Chi phí đất trả trước Triệu VND,Chi phí bồi thường đất Triệu VND,Công cụ và dụng cụ và chi phí lắp đặt các cửa hàng mới Triệu VND,Lợi thế thương mại từ cổ phần hóa Triệu VND,Heo giống Triệu VND,Khác Triệu VND,Tổng Triệu VND,numeric__Chi phí khai thác khoáng sản khác Triệu VND,numeric__Chi phí đất trả trước Triệu VND,numeric__Chi phí bồi thường đất Triệu VND,numeric__Công cụ và dụng cụ và chi phí lắp đặt các cửa hàng mới Triệu VND,numeric__Lợi thế thương mại từ cổ phần hóa Triệu VND,numeric__Heo giống Triệu VND,numeric__Khác Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.735.654,1.534.051,1.266.726,1.353.708,3.135,42.575,1.235.140,7.170.989,1735654.0,1534051.0,1266726.0,1353708.0,3135.0,42575.0,1235140.0,7170989.0
Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,-,11.173,-,456,-,-,-,11.629,,11173.0,,456.0,,,,11629.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,66.007,121,29.117,500.882,-,-,466.289,1.062.416,66007.0,121.0,29117.0,500882.0,,,466289.0,1062416.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,-,-,(1.315),-,-,-,(1.315),,,,-1315.0,,,,-1315.0
Chuyển (sang)/từ xây dựng cơ bản dở dang,Chuyển (sang)/từ xây dựng cơ bản dở dang,Chuyển (sang)/từ xây dựng cơ bản dở dang,-,(8.587),703.138,506.867,-,48.000,86.254,1.335.672,,-8587.0,703138.0,506867.0,,48000.0,86254.0,1335672.0
Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,-,-,-,380,-,-,10,390,,,,380.0,,,10.0,390.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(130.733),(35.910),(100.953),(602.425),(3.135),(26.279),(475.186),(1.374.621),-130733.0,-35910.0,-100953.0,-602425.0,-3135.0,-26279.0,-475186.0,-1374621.0
Thanh lý/Xóa số,Thanh lý/Xóa số,Thanh lý/Xóa số,-,(13.990),-,(5.852),-,(12.960),(205),(33.007),,-13990.0,,-5852.0,,-12960.0,-205.0,-33007.0
Phân loại lại,Phân loại lại,Phân loại lại,-,(8),-,(6.973),-,-,6.981,-,,-8.0,,-6973.0,,,6981.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.670.928,1.486.850,1.898.028,1.745.728,-,51.336,1.319.283,8.172.153,1670928.0,1486850.0,1898028.0,1745728.0,,51336.0,1319283.0,8172153.0
