row_label_raw,row_label_full,col_0,2025,2025_1,2024,2024_1,numeric__2025,numeric__2025_1,numeric__2024,numeric__2024_1
,,,%,Triệu VND,%,Triệu VND,,,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,"100,0%",7.888.090,"100,0%",6.024.803,1.0,7888090.0,1.0,6024803.0
Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,"20,0%",1.577.618,"20,0%",1.204.961,0.2,1577618.0,0.2,1204961.0
Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,"-8,9%",(699.235),"-9,1%",(546.289),-0.08900000000000001,-699235.0,-0.091,-546289.0
Ảnh hưởng của các giao dịch hợp nhất,Ảnh hưởng của các giao dịch hợp nhất,Ảnh hưởng của các giao dịch hợp nhất,"4,9%",386.713,"3,0%",178.509,0.049,386713.0,0.03,178509.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,"1,3%",100.745,"2,0%",121.214,0.013000000000000001,100745.0,0.02,121214.0
"Ảnh hưởng của phần lãi trong các công ty liên kết, trừ đi ảnh hưởng thuế","Ảnh hưởng của phần lãi trong các công ty liên kết, trừ đi ảnh hưởng thuế","Ảnh hưởng của phần lãi trong các công ty liên kết, trừ đi ảnh hưởng thuế","-12,9%",(1.016.011),"-14,8%",(888.754),-0.129,-1016011.0,-0.14800000000000002,-888754.0
Biến động của các chênh lệch tạm thời được khấu trừ,Biến động của các chênh lệch tạm thời được khấu trừ,Biến động của các chênh lệch tạm thời được khấu trừ,"3,9%",305.225,"10,0%",602.911,0.039,305225.0,0.1,602911.0
Dự phòng (thừa)/thiếu trong những năm trước,Dự phòng (thừa)/thiếu trong những năm trước,Dự phòng (thừa)/thiếu trong những năm trước,"0,0%",(338),"0,0%",2.265,0.0,-338.0,0.0,2265.0
Lỗ tính thuế đã sử dụng,Lỗ tính thuế đã sử dụng,Lỗ tính thuế đã sử dụng,"-5,8%",(456.488),"-1,4%",(86.576),-0.057999999999999996,-456488.0,-0.013999999999999999,-86576.0
Chi phí lãi vay theo Nghị định 132/2020/NĐ-CP,Chi phí lãi vay theo Nghị định 132/2020/NĐ-CP,Chi phí lãi vay theo Nghị định 132/2020/NĐ-CP,"10,3%",811.690,"12,1%",728.324,0.10300000000000001,811690.0,0.121,728324.0
Phát sinh và hoàn nhập các khoản lỗ tính thuế được ghi nhận và khác,Phát sinh và hoàn nhập các khoản lỗ tính thuế được ghi nhận và khác,Phát sinh và hoàn nhập các khoản lỗ tính thuế được ghi nhận và khác,"1,5%",114.660,"7,2%",435.854,0.015,114660.0,0.07200000000000001,435854.0
,,,"14,3%",1.124.579,"29,0%",1.752.419,0.14300000000000002,1124579.0,0.29,1752419.0
