row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2025Triệu VND,2024Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2025Triệu VND,numeric__2024Triệu VND
LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận kế toán trước thuếĐiều chỉnh cho,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuếĐiều chỉnh cho,Lợi nhuận kế toán trước thuếĐiều chỉnh cho,01,,7.888.090,6.024.803,1.0,,7888090.0,6024803.0
Khấu hao và phân bổ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,3.428.706,4.132.955,2.0,,3428706.0,4132955.0
Các khoản dự phòng,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,631.460,1.362.398,3.0,,631460.0,1362398.0
(Lãi)/Lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > (Lãi)/Lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,(Lãi)/Lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,04,,(21.086),12.608,4.0,,-21086.0,12608.0
Lãi từ hoạt động đầu tư,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(6.211.382),(7.067.273),5.0,,-6211382.0,-7067273.0
Chi phí lãi vay và chi phí tài chính khác,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí tài chính khác,Chi phí lãi vay và chi phí tài chính khác,06,,5.924.079,6.911.415,6.0,,5924079.0,6911415.0
Lãi từ hoạt động kinh doanh trước những thay đổivốn lưu động,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động kinh doanh trước những thay đổivốn lưu động,Lãi từ hoạt động kinh doanh trước những thay đổivốn lưu động,08,,11.639.867,11.376.906,8.0,,11639867.0,11376906.0
Biến động các khoản phải thu và tài sản khác,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,09,,299.800,(337.553),9.0,,299800.0,-337553.0
Biến động hàng tồn kho,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,(671.875),(98.554),10.0,,-671875.0,-98554.0
Biến động các khoản phải trả và nợ phải trả khác,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,1.077.837,2.143.364,11.0,,1077837.0,2143364.0
Biến động chi phí trả trước,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,98.203,628.346,12.0,,98203.0,628346.0
Biến động chứng khoán kinh doanh,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,,(3.824.067),4.183.054,13.0,,-3824067.0,4183054.0
,,,,,8.619.765,17.895.563,,,8619765.0,17895563.0
Tiền lãi vay và chi phí tài chính khác đã trả,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay và chi phí tài chính khác đã trả,Tiền lãi vay và chi phí tài chính khác đã trả,14,,(5.975.241),(6.961.019),14.0,,-5975241.0,-6961019.0
Thuế thu nhập doanh nghiệp đã nộp,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(1.273.816),(1.408.359),15.0,,-1273816.0,-1408359.0
