row_label_raw,row_label_full,col_0,Sản phẩm tiêu dùngcó thương hiệu,Sản phẩm tiêu dùngcó thương hiệu_1,MEATLife,MEATLife_1,Bán lẻ tiêu dùng,Bán lẻ tiêu dùng_1,Vật liệu công nghệ cao,Vật liệu công nghệ cao_1,Khác,Khác_1,Loại trừ,Loại trừ_1,Tổng,Tổng_1,numeric__Sản phẩm tiêu dùngcó thương hiệu,numeric__Sản phẩm tiêu dùngcó thương hiệu_1,numeric__MEATLife,numeric__MEATLife_1,numeric__Bán lẻ tiêu dùng,numeric__Bán lẻ tiêu dùng_1,numeric__Vật liệu công nghệ cao,numeric__Vật liệu công nghệ cao_1,numeric__Khác,numeric__Khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Tổng,numeric__Tổng_1
,,,2025TriệuVND,2024TriệuVND,2025TriệuVND,2024TriệuVND,2025TriệuVND,2024TriệuVND,2025TriệuVND,2024TriệuVND,2025TriệuVND,2024TriệuVND,2025TriệuVND,2024TriệuVND,2025TriệuVND,2024TriệuVND,,,,,,,,,,,,,,
Doanh thu bán hàngra bên ngoài,Doanh thu bán hàngra bên ngoài,Doanh thu bán hàngra bên ngoài,28.502.499,29.290.408,5.826.319,5.018.270,37.813.662,32.711.724,7.442.724,14.336.329,2.036.125,1.820.989,-,-,81.621.329,83.177.720,28502499.0,29290408.0,5826319.0,5018270.0,37813662.0,32711724.0,7442724.0,14336329.0,2036125.0,1820989.0,,,81621329.0,83177720.0
Doanh thu giữa cácbộ phận,Doanh thu giữa cácbộ phận,Doanh thu giữa cácbộ phận,2.431.906,2.174.221,3.403.777,2.631.446,1.168.493,252.251,-,-,1.160.261,897.272,(8.164.437),(5.955.190),-,-,2431906.0,2174221.0,3403777.0,2631446.0,1168493.0,252251.0,,,1160261.0,897272.0,-8164437.0,-5955190.0,,
Lợi nhuận gộpcủa bộ phận,Lợi nhuận gộpcủa bộ phận,Lợi nhuận gộpcủa bộ phận,13.140.566,13.750.358,1.923.015,1.552.074,8.543.541,8.027.722,1.245.330,908.604,728.158,416.980,-,-,25.580.610,24.655.738,13140566.0,13750358.0,1923015.0,1552074.0,8543541.0,8027722.0,1245330.0,908604.0,728158.0,416980.0,,,25580610.0,24655738.0
Kết quả kinh doanhcủa bộ phận,Kết quả kinh doanhcủa bộ phận,Kết quả kinh doanhcủa bộ phận,7.010.880,7.405.081,471.717,153.684,804.906,108.931,1.068.039,125.887,3.730.968,3.236.467,-,-,13.086.510,11.030.050,7010880.0,7405081.0,471717.0,153684.0,804906.0,108931.0,1068039.0,125887.0,3730968.0,3236467.0,,,13086510.0,11030050.0
Chỉ phí không phân bổthuẩn,Chỉ phí không phân bổthuẩn,Chỉ phí không phân bổthuẩn,,,,,,,,,,,,,(6.322.999),(6.757.666),,,,,,,,,,,,,-6322999.0,-6757666.0
Lợi nhuận thuần,Lợi nhuận thuần,Lợi nhuận thuần,,,,,,,,,,,,,6.763.511,4.272.384,,,,,,,,,,,,,6763511.0,4272384.0
