row_label_raw,row_label_full,col_0,2015 triệu đồng,2014 triệu đồng,numeric__2015 triệu đồng,numeric__2014 triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,9.191.710,9.136.495,9191710.0,9136495.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(7.604.795),(7.963.094),-7604795.0,-7963094.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,1.586.915,1.173.401,1586915.0,1173401.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,186.456,171.608,186456.0,171608.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(147.812),(115.740),-147812.0,-115740.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,38.644,55.868,38644.0,55868.0
(Lỗ) thuần từ hoạt động kinh doanh ngoại hối,(Lỗ) thuần từ hoạt động kinh doanh ngoại hối,(Lỗ) thuần từ hoạt động kinh doanh ngoại hối,(70.925),(15.311),-70925.0,-15311.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,(46.068),9.700,-46068.0,9700.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,561.362,635.084,561362.0,635084.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,443.322,468.257,443322.0,468257.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(161.960),(242.412),-161960.0,-242412.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,281.362,225.845,281362.0,225845.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",142.435,91.493,142435.0,91493.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,2.493.725,2.176.080,2493725.0,2176080.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,(776.687),(585.053),-776687.0,-585053.0
Chi phí khấu khảo và khấu trừ,Chi phí khấu khảo và khấu trừ,Chi phí khấu khảo và khấu trừ,(125.740),(118.703),-125740.0,-118703.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(906.431),(548.639),-906431.0,-548639.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(1.808.858),(1.252.395),-1808858.0,-1252395.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,684.867,923.685,684867.0,923685.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(1.286.327),(2.617.097),-1286327.0,-2617097.0
Hoàn nhập dự phòng rủi ro tín dụng,Hoàn nhập dự phòng rủi ro tín dụng,Hoàn nhập dự phòng rủi ro tín dụng,759.492,1.855.436,759492.0,1855436.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,158.032,162.024,158032.0,162024.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(41.758),(19.268),-41758.0,-19268.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,(41.758),(19.268),-41758.0,-19268.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,116.274,142.756,116274.0,142756.0
Lãi cơ bản trên cổ phiếu (đồng),Lãi cơ bản trên cổ phiếu (đồng),Lãi cơ bản trên cổ phiếu (đồng),100,180,100.0,180.0
