row_label_raw,row_label_full,col_0,Tại ngày 31/12/2025 VND,Tại ngày 01/01/2025 VND,numeric__Tại ngày 31/12/2025 VND,numeric__Tại ngày 01/01/2025 VND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,7.243.790.436.153,10.486.058.757.701,7243790436153.0,10486058757701.0
Phải thu khách hàng là các bên khác,Phải thu khách hàng là các bên khác,Phải thu khách hàng là các bên khác,7.230.151.050.804,10.408.594.154.949,7230151050804.0,10408594154949.0
- Công ty Cổ phần Hàng không Tre Việt,- Công ty Cổ phần Hàng không Tre Việt,- Công ty Cổ phần Hàng không Tre Việt,2.621.935.131.990,2.375.632.127.351,2621935131990.0,2375632127351.0
- Công ty Cổ phần Hàng Không VietJet,- Công ty Cổ phần Hàng Không VietJet,- Công ty Cổ phần Hàng Không VietJet,886.248.965.776,2.713.269.624.592,886248965776.0,2713269624592.0
- Công ty Cổ phần Hàng không Pacific Airlines,- Công ty Cổ phần Hàng không Pacific Airlines,- Công ty Cổ phần Hàng không Pacific Airlines,873.609.218.394,888.894.759.833,873609218394.0,888894759833.0
- Công ty Cổ phần Hàng không Lữ hành Việt Nam,- Công ty Cổ phần Hàng không Lữ hành Việt Nam,- Công ty Cổ phần Hàng không Lữ hành Việt Nam,302.239.081.679,370.020.249.502,302239081679.0,370020249502.0
- Tổng Công ty Hàng không Việt Nam - CTCP,- Tổng Công ty Hàng không Việt Nam - CTCP,- Tổng Công ty Hàng không Việt Nam - CTCP,256.677.730.829,3.061.651.683.857,256677730829.0,3061651683857.0
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,2.289.440.922.136,999.125.709.814,2289440922136.0,999125709814.0
Phải thu của khách hàng là các bên liên quan (Thuyết minh số 33),Phải thu của khách hàng là các bên liên quan (Thuyết minh số 33),Phải thu của khách hàng là các bên liên quan (Thuyết minh số 33),13.639.385.349,77.464.602.752,13639385349.0,77464602752.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,2.800.000.200,2.800.000.200,2800000200.0,2800000200.0
- Công ty Cổ phần Hoàng Long Yến,- Công ty Cổ phần Hoàng Long Yến,- Công ty Cổ phần Hoàng Long Yến,2.800.000.200,2.800.000.200,2800000200.0,2800000200.0
Tổng cộng,Tổng cộng,Tổng cộng,7.246.590.436.353,10.488.858.757.901,7246590436353.0,10488858757901.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(3.691.598.165.989),(3.663.066.570.184),-3691598165989.0,-3663066570184.0
Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,(2.800.000.200),(2.800.000.200),-2800000200.0,-2800000200.0
Giá trị thuần,Giá trị thuần,Giá trị thuần,3.552.192.270.164,6.822.992.187.517,3552192270164.0,6822992187517.0
