row_label_raw,row_label_full,col_0,Tại ngày 31/12/2025VND,Tại ngày 01/01/2025VND,numeric__Tại ngày 31/12/2025VND,numeric__Tại ngày 01/01/2025VND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,401.033.964.280,186.090.282.798,401033964280.0,186090282798.0
- Chênh lệch còn lại từ hoạt động bảo đảm ANHK (*),- Chênh lệch còn lại từ hoạt động bảo đảm ANHK (*),- Chênh lệch còn lại từ hoạt động bảo đảm ANHK (*),252.335.313.320,-,252335313320.0,
"- Ký quỹ, ký cược ngắn hạn","- Ký quỹ, ký cược ngắn hạn","- Ký quỹ, ký cược ngắn hạn",98.876.149.669,83.495.062.465,98876149669.0,83495062465.0
- Hoa hồng thu hộ,- Hoa hồng thu hộ,- Hoa hồng thu hộ,19.812.980.315,75.159.349.224,19812980315.0,75159349224.0
- Phí nhượng quyền khai thác cảng hàng không,- Phí nhượng quyền khai thác cảng hàng không,- Phí nhượng quyền khai thác cảng hàng không,10.893.530.000,17.570.214.000,10893530000.0,17570214000.0
- Kinh phí công đoàn,- Kinh phí công đoàn,- Kinh phí công đoàn,2.639.651.638,3.137.245.429,2639651638.0,3137245429.0
- Các khoản khác,- Các khoản khác,- Các khoản khác,16.476.339.338,6.728.411.680,16476339338.0,6728411680.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,371.294.180.604,260.595.388.007,371294180604.0,260595388007.0
"- Ký cược, ký quỹ","- Ký cược, ký quỹ","- Ký cược, ký quỹ",371.294.180.604,260.595.388.007,371294180604.0,260595388007.0
,,,772.328.144.884,446.685.670.805,772328144884.0,446685670805.0
