row_label_raw,row_label_full,Nhóm tài sản cố định,Thời gian khấu hao (năm),numeric__Thời gian khấu hao (năm)
"Nhà xưởng, vật kiến trúc","Nhà xưởng, vật kiến trúc","Nhà xưởng, vật kiến trúc",05-25,
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,03-10,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,03-05,
Phương tiện vận tải,Thiết bị văn phòng > Phương tiện vận tải,Phương tiện vận tải,06,6.0
