row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Tại ngày 31/12/2025 VND,Tại ngày 01/01/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tại ngày 31/12/2025 VND,numeric__Tại ngày 01/01/2025 VND
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,22.007.296.617.156,17.241.265.944.151,300.0,,22007296617156.0,17241265944151.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,12.335.559.205.644,7.634.011.569.929,310.0,,12335559205644.0,7634011569929.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,17,2.993.558.465.488,1.684.755.826.546,311.0,17.0,2993558465488.0,1684755826546.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,10.281.603.132,6.086.854.082,312.0,,10281603132.0,6086854082.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,18,4.198.071.832.701,3.391.978.416.740,313.0,18.0,4198071832701.0,3391978416740.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,1.302.377.953.192,1.259.280.474.212,314.0,,1302377953192.0,1259280474212.0
Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,315,20,2.389.546.160.483,267.958.850.359,315.0,20.0,2389546160483.0,267958850359.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,4.506.866.527,4.576.912.610,318.0,,4506866527.0,4576912610.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,21,401.033.964.280,186.090.282.798,319.0,21.0,401033964280.0,186090282798.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,19,411.574.858.760,395.932.592.937,320.0,19.0,411574858760.0,395932592937.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,624.607.501.081,437.351.359.645,322.0,,624607501081.0,437351359645.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,9.671.737.411.512,9.607.254.374.222,330.0,,9671737411512.0,9607254374222.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,21,371.294.180.604,260.595.388.007,337.0,21.0,371294180604.0,260595388007.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,19,9.300.040.314.193,9.346.256.069.500,338.0,19.0,9300040314193.0,9346256069500.0
Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,341,16,402.916.715,402.916.715,341.0,16.0,402916715.0,402916715.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,69.902.494.343.895,60.040.686.921.412,400.0,,69902494343895.0,60040686921412.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,22,69.902.494.343.895,60.040.686.921.412,410.0,22.0,69902494343895.0,60040686921412.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,35.828.475.230.000,21.771.732.360.000,411.0,,35828475230000.0,21771732360000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,35.828.475.230.000,21.771.732.360.000,,,35828475230000.0,21771732360000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,14.602.790.587,14.602.790.587,412.0,,14602790587.0,14602790587.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,,(6.857.850.000),(2.918.680.000),415.0,,-6857850000.0,-2918680000.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,16.242.865.778.658,6.034.593.641.645,418.0,,16242865778658.0,6034593641645.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,17.767.041.160.439,32.166.286.228.983,421.0,,17767041160439.0,32166286228983.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,6.952.117.889.595,21.745.377.993.942,,,6952117889595.0,21745377993942.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,10.814.923.270.844,10.420.908.235.041,,,10814923270844.0,10420908235041.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,56.367.234.211,56.390.580.197,429.0,,56367234211.0,56390580197.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,91.909.790.961.051,77.281.952.865.563,440.0,,91909790961051.0,77281952865563.0
