row_label_raw,row_label_full,col_0,Nhà cửavật kiến trúcVND,Máy mócthiết bịVND,"Phương tiệnvận tải,truyền dẫnVND",Thiết bịdụng cụquản lýVND,CộngVND,numeric__Nhà cửavật kiến trúcVND,numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải,truyền dẫnVND",numeric__Thiết bịdụng cụquản lýVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Tại ngày 01/01/2025,NGUYÊN GIÁ > Tại ngày 01/01/2025,Tại ngày 01/01/2025,30.036.110.360.644,16.244.374.728.191,3.330.430.566.384,133.005.768.918,49.743.921.424.137,30036110360644.0,16244374728191.0,3330430566384.0,133005768918.0,49743921424137.0
- Tăng trong năm,NGUYÊN GIÁ > - Tăng trong năm,- Tăng trong năm,-,1.228.244.936.928,46.840.126.880,41.364.281.208,1.316.449.345.016,,1228244936928.0,46840126880.0,41364281208.0,1316449345016.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,9.299.588.021.765,5.764.654.044.624,-,669.122.582,15.064.911.188.971,9299588021765.0,5764654044624.0,,669122582.0,15064911188971.0
- Nhận tải trợ/biểu tặng,NGUYÊN GIÁ > - Nhận tải trợ/biểu tặng,- Nhận tải trợ/biểu tặng,-,1.016.321.509,-,-,1.016.321.509,,1016321509.0,,,1016321509.0
- Thanh lý/tháo dỡ,NGUYÊN GIÁ > - Thanh lý/tháo dỡ,- Thanh lý/tháo dỡ,(5.510.658.470),(140.301.127.296),(15.546.785.877),(1.244.557.246),(162.603.128.889),-5510658470.0,-140301127296.0,-15546785877.0,-1244557246.0,-162603128889.0
- Phân loại lại,NGUYÊN GIÁ > - Phân loại lại,- Phân loại lại,-,443.696.544,(634.284.762),69.800.000,(120.788.218),,443696544.0,-634284762.0,69800000.0,-120788218.0
Tại ngày 31/12/2025,NGUYÊN GIÁ > Tại ngày 31/12/2025,Tại ngày 31/12/2025,39.330.187.723.939,23.098.432.600.500,3.361.089.622.625,173.864.415.462,65.963.574.362.526,39330187723939.0,23098432600500.0,3361089622625.0,173864415462.0,65963574362526.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Tại ngày 01/01/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2025,Tại ngày 01/01/2025,20.231.467.361.926,14.592.578.446.652,2.779.066.262.655,113.914.520.975,37.717.026.592.208,20231467361926.0,14592578446652.0,2779066262655.0,113914520975.0,37717026592208.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,1.623.867.856.501,1.140.533.415.106,188.979.783.514,14.181.996.528,2.967.563.051.649,1623867856501.0,1140533415106.0,188979783514.0,14181996528.0,2967563051649.0
- Thanh lý/tháo dỡ,GIÁ TRỊ HAO MÒN LỦY KẾ > - Thanh lý/tháo dỡ,- Thanh lý/tháo dỡ,(5.510.658.470),(140.301.127.296),(15.546.785.877),(1.244.557.246),(162.603.128.889),-5510658470.0,-140301127296.0,-15546785877.0,-1244557246.0,-162603128889.0
- Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > - Phân loại lại,- Phân loại lại,(5.704.690),(72.032.478),(97.314.922),69.800.000,(105.252.090),-5704690.0,-72032478.0,-97314922.0,69800000.0,-105252090.0
Tại ngày 31/12/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2025,Tại ngày 31/12/2025,21.849.818.855.267,15.592.738.701.984,2.952.401.945.370,126.921.760.257,40.521.881.262.878,21849818855267.0,15592738701984.0,2952401945370.0,126921760257.0,40521881262878.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày 01/01/2025,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2025,Tại ngày 01/01/2025,9.804.642.998.718,1.651.796.281.539,551.364.303.729,19.091.247.943,12.026.894.831.929,9804642998718.0,1651796281539.0,551364303729.0,19091247943.0,12026894831929.0
Tại ngày 31/12/2025,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2025,Tại ngày 31/12/2025,17.480.368.868.672,7.505.693.898.516,408.687.677.255,46.942.655.205,25.441.693.099.648,17480368868672.0,7505693898516.0,408687677255.0,46942655205.0,25441693099648.0
