row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Tại ngày 31/12/2025 > VND,Tại ngày 01/01/2025 > VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tại ngày 31/12/2025 > VND,numeric__Tại ngày 01/01/2025 > VND
A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,100,,26.969.519.033.122,40.695.103.265.507,100.0,,26969519033122.0,40695103265507.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,4.240.105.377.144,6.306.598.160.799,110.0,5.0,4240105377144.0,6306598160799.0
Tiền,Tiền,Tiền,111,,3.898.105.377.144,4.475.598.160.799,111.0,,3898105377144.0,4475598160799.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,342.000.000.000,1.831.000.000.000,112.0,,342000000000.0,1831000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,15,10.505.425.769.220,20.248.500.000.000,120.0,15.0,10505425769220.0,20248500000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,10.505.425.769.220,20.248.500.000.000,123.0,,10505425769220.0,20248500000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,8.397.664.492.898,12.309.269.849.298,130.0,,8397664492898.0,12309269849298.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6,7.243.790.436.153,10.486.058.757.701,131.0,6.0,7243790436153.0,10486058757701.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,7,4.224.243.585.307,4.834.859.212.732,132.0,7.0,4224243585307.0,4834859212732.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8,621.228.637.427,651.418.449.049,136.0,8.0,621228637427.0,651418449049.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,9,(3.691.598.165.989),(3.663.066.570.184),137.0,9.0,-3691598165989.0,-3663066570184.0
