row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ hàng không và phí hàng không VND,Hoạt động bán hàng VND,Tổng cộng toàn Tổng Công ty VND,numeric__Dịch vụ hàng không và phí hàng không VND,numeric__Hoạt động bán hàng VND,numeric__Tổng cộng toàn Tổng Công ty VND
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,24.843.631.206.174,1.054.018.845.649,25.897.650.051.823,24843631206174.0,1054018845649.0,25897650051823.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,,,
Giá vốn hàng bán,Chi phí bộ phận > Giá vốn hàng bán,Giá vốn hàng bán,9.807.190.810.437,474.726.604.045,10.281.917.414.482,9807190810437.0,474726604045.0,10281917414482.0
Chi phí bán hàng,Chi phí bộ phận > Chi phí bán hàng,Chi phí bán hàng,-,402.940.841.218,402.940.841.218,,402940841218.0,402940841218.0
Kết quả kinh doanh theo bộ phận,Chi phí bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,15.036.440.395.737,176.351.400.386,15.212.791.796.123,15036440395737.0,176351400386.0,15212791796123.0
